household_id,person_id,age,gender,education,hhincome_broad,vehicle_count
23010371,2301037101,75 years or older,Female,Graduate/post-graduate degree,"$75,000-$99,999",1 vehicle
23010421,2301042101,65-74 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23010421,2301042102,65-74 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23012007,2301200701,55-64 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23010629,2301062901,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23012007,2301200702,55-64 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23005895,2300589501,25-34 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23012571,2301257101,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23012571,2301257102,35-44 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23017142,2301714201,45-54 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23017142,2301714202,55-64 years,Male,High school graduate,"$100,000-$199,999",1 vehicle
23017257,2301725701,55-64 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23017257,2301725702,55-64 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23017346,2301734601,35-44 years,Male,Bachelor degree,"$200,000 or more",2 vehicles
23017346,2301734603,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23017356,2301735601,35-44 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23017356,2301735602,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23019455,2301945501,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23019455,2301945502,25-34 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23024687,2302468701,35-44 years,Male,Some college,"$200,000 or more",1 vehicle
23024687,2302468702,35-44 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23023031,2302303101,45-54 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23026929,2302692901,35-44 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23020190,2302019001,45-54 years,Female,Bachelor degree,"$25,000-$49,999",1 vehicle
23027355,2302735501,25-34 years,Female,Bachelor degree,"$50,000-$74,999",0 (no vehicles)
23018491,2301849101,45-54 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23018491,2301849103,55-64 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23027564,2302756401,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23027564,2302756402,25-34 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23023534,2302353401,65-74 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",0 (no vehicles)
23023571,2302357101,75 years or older,Female,Some college,"$50,000-$74,999",2 vehicles
23025844,2302584401,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23023627,2302362701,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23027776,2302777601,65-74 years,Prefer not to answer,Bachelor degree,"$50,000-$74,999",1 vehicle
23025844,2302584402,45-54 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23028096,2302809601,25-34 years,Male,Bachelor degree,"$75,000-$99,999",2 vehicles
23015304,2301530401,35-44 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",0 (no vehicles)
23021997,2302199701,55-64 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",3 vehicles
23028288,2302828801,65-74 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23021997,2302199702,55-64 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",3 vehicles
23015321,2301532101,55-64 years,Female,Bachelor degree,"$100,000-$199,999",3 vehicles
23028288,2302828802,65-74 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23021997,2302199703,75 years or older,Female,Graduate/post-graduate degree,"$100,000-$199,999",3 vehicles
23015321,2301532102,55-64 years,Female,Bachelor degree,"$100,000-$199,999",3 vehicles
23028315,2302831501,65-74 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",1 vehicle
23030147,2303014701,55-64 years,Female,Bachelor degree,"$100,000-$199,999",2 vehicles
23030147,2303014702,65-74 years,Male,Associates degree,"$100,000-$199,999",2 vehicles
23026247,2302624701,25-34 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23030178,2303017801,45-54 years,Male,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23026247,2302624702,25-34 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23030178,2303017802,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23024392,2302439201,65-74 years,Male,Bachelor degree,"$50,000-$74,999",0 (no vehicles)
23024431,2302443101,75 years or older,Male,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23024431,2302443102,75 years or older,Female,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23030930,2303093001,75 years or older,Male,Graduate/post-graduate degree,"$200,000 or more",3 vehicles
23030930,2303093002,55-64 years,Female,Graduate/post-graduate degree,"$200,000 or more",3 vehicles
23016190,2301619001,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23016261,2301626101,35-44 years,Female,Bachelor degree,"$50,000-$74,999",0 (no vehicles)
23042140,2304214001,18-24 years,Female,Graduate/post-graduate degree,"$25,000-$49,999",1 vehicle
23043276,2304327601,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23042288,2304228801,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",0 (no vehicles)
23031052,2303105201,75 years or older,Male,Bachelor degree,"$50,000-$74,999",1 vehicle
23036894,2303689401,35-44 years,Female,Some college,"$100,000-$199,999",1 vehicle
23033135,2303313501,55-64 years,Female,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23042790,2304279001,35-44 years,Male,Some college,"$200,000 or more",1 vehicle
23042790,2304279002,35-44 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23042804,2304280401,75 years or older,Female,Bachelor degree,"Under $25,000",0 (no vehicles)
23043084,2304308401,55-64 years,Female,Some college,"Under $25,000",1 vehicle
23043225,2304322501,25-34 years,Female,Graduate/post-graduate degree,"$25,000-$49,999",2 vehicles
23043276,2304327602,45-54 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23033135,2303313502,55-64 years,Male,Bachelor degree,"$200,000 or more",2 vehicles
23031052,2303105202,75 years or older,Female,Some college,"$50,000-$74,999",1 vehicle
23036894,2303689402,35-44 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23036633,2303663301,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23036874,2303687401,45-54 years,Female,Bachelor degree,"$100,000-$199,999",3 vehicles
23036874,2303687402,45-54 years,Male,Associates degree,"$100,000-$199,999",3 vehicles
23031117,2303111701,65-74 years,Male,Bachelor degree,"$75,000-$99,999",3 vehicles
23031117,2303111702,55-64 years,Female,Some college,"$75,000-$99,999",3 vehicles
23033218,2303321801,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23033218,2303321802,35-44 years,Male,Bachelor degree,"$100,000-$199,999",2 vehicles
23039101,2303910101,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23038450,2303845001,45-54 years,Male,High school graduate,"$200,000 or more",2 vehicles
23038450,2303845002,45-54 years,Male,Some college,"$200,000 or more",2 vehicles
23039101,2303910102,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23043755,2304375501,55-64 years,Male,Graduate/post-graduate degree,"$50,000-$74,999",1 vehicle
23031966,2303196601,55-64 years,Female,Bachelor degree,"$200,000 or more",2 vehicles
23031966,2303196602,55-64 years,Male,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23032100,2303210001,18-24 years,Female,Bachelor degree,"$50,000-$74,999",1 vehicle
23044001,2304400101,65-74 years,Female,Graduate/post-graduate degree,"$25,000-$49,999",1 vehicle
23044172,2304417201,18-24 years,Female,Some college,"$50,000-$74,999",1 vehicle
23044172,2304417202,18-24 years,Male,High school graduate,"$50,000-$74,999",1 vehicle
23040089,2304008901,55-64 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",3 vehicles
23040089,2304008902,55-64 years,Male,Bachelor degree,"$100,000-$199,999",3 vehicles
23041944,2304194401,25-34 years,Female,Bachelor degree,"$100,000-$199,999",2 vehicles
23041944,2304194402,25-34 years,Male,Bachelor degree,"$100,000-$199,999",2 vehicles
23041960,2304196001,25-34 years,Female,Associates degree,"$50,000-$74,999",0 (no vehicles)
23034334,2303433401,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23034334,2303433402,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23034481,2303448101,45-54 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",0 (no vehicles)
23034723,2303472301,18-24 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23047378,2304737801,25-34 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23047378,2304737802,25-34 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23048383,2304838301,35-44 years,Female,Graduate/post-graduate degree,"$75,000-$99,999",1 vehicle
23048976,2304897601,55-64 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",0 (no vehicles)
23049135,2304913501,25-34 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23049135,2304913502,25-34 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23044545,2304454501,65-74 years,Male,Bachelor degree,"$50,000-$74,999",1 vehicle
23050483,2305048301,55-64 years,Female,Associates degree,"$25,000-$49,999",1 vehicle
23052371,2305237101,45-54 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23052371,2305237102,45-54 years,Female,Bachelor degree,"$100,000-$199,999",2 vehicles
23054129,2305412901,55-64 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23058813,2305881301,35-44 years,Female,Bachelor degree,"$100,000-$199,999",2 vehicles
23058813,2305881302,35-44 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23045531,2304553101,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23045531,2304553102,25-34 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23052931,2305293101,45-54 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23059118,2305911801,18-24 years,Male,Associates degree,"$25,000-$49,999",1 vehicle
23054467,2305446701,35-44 years,Male,Vocational/technical training,"$100,000-$199,999",2 vehicles
23054467,2305446702,35-44 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23045901,2304590101,25-34 years,Male,Graduate/post-graduate degree,"$50,000-$74,999",0 (no vehicles)
23059239,2305923901,25-34 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",1 vehicle
23045901,2304590102,45-54 years,Female,Associates degree,"$50,000-$74,999",0 (no vehicles)
23053067,2305306701,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23054633,2305463301,45-54 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23051670,2305167001,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23054633,2305463302,45-54 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23051670,2305167002,35-44 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23053067,2305306703,45-54 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23054633,2305463303,75 years or older,Female,High school graduate,"$200,000 or more",1 vehicle
23059620,2305962001,18-24 years,Male,Some college,"$25,000-$49,999",1 vehicle
23059620,2305962002,18-24 years,Non-binary,Some college,"$25,000-$49,999",1 vehicle
23053341,2305334101,35-44 years,Male,Bachelor degree,"$200,000 or more",0 (no vehicles)
23053445,2305344501,45-54 years,Female,Associates degree,"$50,000-$74,999",1 vehicle
23056824,2305682401,25-34 years,Female,Bachelor degree,"$50,000-$74,999",0 (no vehicles)
23056824,2305682402,25-34 years,Male,Some college,"$50,000-$74,999",0 (no vehicles)
23057289,2305728901,55-64 years,Male,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23057777,2305777701,45-54 years,Male,Bachelor degree,"$100,000-$199,999",2 vehicles
23057777,2305777702,35-44 years,Female,Bachelor degree,"$100,000-$199,999",2 vehicles
23076280,2307628001,25-34 years,Male,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23060429,2306042901,35-44 years,Female,Bachelor degree,"$200,000 or more",3 vehicles
23060429,2306042902,45-54 years,Male,Graduate/post-graduate degree,"$200,000 or more",3 vehicles
23060823,2306082301,25-34 years,Prefer not to answer,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23060941,2306094101,25-34 years,Female,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23060941,2306094102,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23061063,2306106301,18-24 years,Male,Bachelor degree,"$75,000-$99,999",0 (no vehicles)
23076280,2307628002,25-34 years,Female,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23068005,2306800501,65-74 years,Male,Some college,"Under $25,000",0 (no vehicles)
23068152,2306815201,55-64 years,Prefer not to answer,Graduate/post-graduate degree,"$75,000-$99,999",0 (no vehicles)
23062726,2306272601,35-44 years,Female,Bachelor degree,"$75,000-$99,999",1 vehicle
23070319,2307031901,25-34 years,Prefer not to answer,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23063329,2306332901,55-64 years,Female,Bachelor degree,"Under $25,000",0 (no vehicles)
23063662,2306366201,35-44 years,Male,Bachelor degree,"$50,000-$74,999",0 (no vehicles)
23064164,2306416401,25-34 years,Female,Bachelor degree,"Under $25,000",1 vehicle
23068165,2306816501,65-74 years,Female,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23072538,2307253801,35-44 years,Female,Bachelor degree,"$75,000-$99,999",0 (no vehicles)
23067071,2306707101,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23067082,2306708201,25-34 years,Female,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23072538,2307253802,45-54 years,Male,Some college,"$75,000-$99,999",0 (no vehicles)
23076874,2307687401,35-44 years,Male,Bachelor degree,"$50,000-$74,999",0 (no vehicles)
23072672,2307267201,25-34 years,Female,Bachelor degree,"$50,000-$74,999",1 vehicle
23072827,2307282701,65-74 years,Male,High school graduate,"Under $25,000",0 (no vehicles)
23073304,2307330401,45-54 years,Female,Bachelor degree,"$100,000-$199,999",3 vehicles
23073304,2307330402,55-64 years,Male,Bachelor degree,"$100,000-$199,999",3 vehicles
23073653,2307365301,25-34 years,Male,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23073814,2307381401,45-54 years,Female,Vocational/technical training,"$100,000-$199,999",1 vehicle
23073814,2307381402,35-44 years,Non-binary,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23068588,2306858801,35-44 years,Male,Bachelor degree,"$75,000-$99,999",1 vehicle
23070385,2307038501,25-34 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",0 (no vehicles)
23074536,2307453601,18-24 years,Male,Less than high school,"$25,000-$49,999",0 (no vehicles)
23077549,2307754901,25-34 years,Male,Graduate/post-graduate degree,"$25,000-$49,999",0 (no vehicles)
23077869,2307786901,45-54 years,Female,Bachelor degree,"$75,000-$99,999",2 vehicles
23075213,2307521301,25-34 years,Female,Bachelor degree,"$75,000-$99,999",0 (no vehicles)
23077921,2307792101,45-54 years,Male,Associates degree,"$50,000-$74,999",2 vehicles
23069060,2306906001,25-34 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23069060,2306906002,25-34 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23078283,2307828301,35-44 years,Male,Vocational/technical training,"$100,000-$199,999",2 vehicles
23078283,2307828302,35-44 years,Female,Bachelor degree,"$100,000-$199,999",2 vehicles
23075813,2307581301,25-34 years,Male,Graduate/post-graduate degree,"$200,000 or more",2 vehicles
23075813,2307581302,25-34 years,Female,Bachelor degree,"$200,000 or more",2 vehicles
23069862,2306986201,18-24 years,Male,Bachelor degree,"$100,000-$199,999",0 (no vehicles)
23069888,2306988801,45-54 years,Female,Some college,"Under $25,000",1 vehicle
23071945,2307194501,18-24 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",0 (no vehicles)
23072026,2307202601,25-34 years,Male,High school graduate,"$75,000-$99,999",1 vehicle
23072026,2307202602,35-44 years,Male,High school graduate,"$75,000-$99,999",1 vehicle
23079028,2307902801,55-64 years,Female,Bachelor degree,"$25,000-$49,999",1 vehicle
23079162,2307916201,18-24 years,Female,Bachelor degree,"Under $25,000",1 vehicle
23087048,2308704801,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23079597,2307959701,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23079597,2307959702,25-34 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23079943,2307994301,25-34 years,Male,Bachelor degree,"$100,000-$199,999",0 (no vehicles)
23080371,2308037101,25-34 years,Male,Graduate/post-graduate degree,"$25,000-$49,999",1 vehicle
23081346,2308134601,55-64 years,Male,Associates degree,"$50,000-$74,999",0 (no vehicles)
23087048,2308704802,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23087068,2308706801,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",0 (no vehicles)
23093591,2309359101,25-34 years,Female,Bachelor degree,"$200,000 or more",1 vehicle
23093591,2309359102,25-34 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23089946,2308994601,35-44 years,Female,Some college,"$50,000-$74,999",0 (no vehicles)
23093683,2309368301,45-54 years,Female,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23089946,2308994602,35-44 years,Male,High school graduate,"$50,000-$74,999",0 (no vehicles)
23089967,2308996701,25-34 years,Male,Bachelor degree,"$200,000 or more",0 (no vehicles)
23089967,2308996702,25-34 years,Female,Graduate/post-graduate degree,"$200,000 or more",0 (no vehicles)
23082345,2308234501,25-34 years,Female,High school graduate,"Under $25,000",0 (no vehicles)
23087379,2308737901,65-74 years,Female,Some college,"Under $25,000",1 vehicle
23093905,2309390501,45-54 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23093905,2309390502,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23090697,2309069701,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23082757,2308275701,45-54 years,Male,Associates degree,"$25,000-$49,999",2 vehicles
23090734,2309073401,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23093926,2309392601,25-34 years,Non-binary,Graduate/post-graduate degree,"$75,000-$99,999",0 (no vehicles)
23090734,2309073402,25-34 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23095078,2309507801,25-34 years,Female,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23087615,2308761501,45-54 years,Female,Bachelor degree,"$100,000-$199,999",0 (no vehicles)
23091986,2309198601,75 years or older,Prefer not to answer,Bachelor degree,"Under $25,000",0 (no vehicles)
23093926,2309392602,25-34 years,Female,Some college,"$75,000-$99,999",0 (no vehicles)
23087615,2308761502,45-54 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",0 (no vehicles)
23090779,2309077901,18-24 years,Female,Bachelor degree,"$75,000-$99,999",0 (no vehicles)
23092100,2309210001,25-34 years,Male,Graduate/post-graduate degree,"$200,000 or more",0 (no vehicles)
23092143,2309214301,35-44 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23092143,2309214302,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23087662,2308766201,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23094078,2309407801,25-34 years,Female,Associates degree,"$25,000-$49,999",1 vehicle
23082922,2308292201,65-74 years,Male,Bachelor degree,"Under $25,000",0 (no vehicles)
23087662,2308766202,25-34 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23094145,2309414501,55-64 years,Male,Bachelor degree,"Under $25,000",0 (no vehicles)
23090890,2309089001,18-24 years,Male,Bachelor degree,"Under $25,000",1 vehicle
23083468,2308346801,35-44 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23095268,2309526801,35-44 years,Female,Bachelor degree,"$75,000-$99,999",1 vehicle
23087892,2308789201,55-64 years,Female,Vocational/technical training,"$100,000-$199,999",3 vehicles
23091018,2309101801,25-34 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23095268,2309526802,35-44 years,Male,Graduate/post-graduate degree,"$75,000-$99,999",1 vehicle
23087892,2308789202,55-64 years,Male,High school graduate,"$100,000-$199,999",3 vehicles
23086158,2308615801,55-64 years,Female,Some college,"$100,000-$199,999",2 vehicles
23086158,2308615802,55-64 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23094495,2309449501,25-34 years,Male,Some college,"$50,000-$74,999",1 vehicle
23094647,2309464701,35-44 years,Male,Bachelor degree,"$50,000-$74,999",1 vehicle
23088138,2308813801,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23091281,2309128101,35-44 years,Female,Bachelor degree,"$100,000-$199,999",1 vehicle
23091281,2309128102,35-44 years,Male,Bachelor degree,"$100,000-$199,999",1 vehicle
23088732,2308873201,35-44 years,Non-binary,Some college,"$50,000-$74,999",1 vehicle
23092634,2309263401,25-34 years,Female,Bachelor degree,"$100,000-$199,999",2 vehicles
23094736,2309473601,18-24 years,Male,Some college,"$25,000-$49,999",0 (no vehicles)
23092634,2309263402,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23095920,2309592001,25-34 years,Female,Some college,"$25,000-$49,999",1 vehicle
23091418,2309141801,18-24 years,Female,High school graduate,"$25,000-$49,999",1 vehicle
23092721,2309272101,25-34 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",1 vehicle
23093108,2309310801,45-54 years,Female,Bachelor degree,"$200,000 or more",2 vehicles
23093108,2309310802,45-54 years,Male,Bachelor degree,"$200,000 or more",2 vehicles
23093406,2309340601,35-44 years,Non-binary,Graduate/post-graduate degree,"$100,000-$199,999",0 (no vehicles)
23106553,2310655301,65-74 years,Female,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23107138,2310713801,25-34 years,Male,Bachelor degree,"$75,000-$99,999",1 vehicle
23107142,2310714201,55-64 years,Female,Some college,"Under $25,000",1 vehicle
23107439,2310743901,18-24 years,Female,Bachelor degree,"$50,000-$74,999",1 vehicle
23107439,2310743902,25-34 years,Female,Bachelor degree,"$50,000-$74,999",1 vehicle
23108458,2310845801,18-24 years,Male,Some college,"Under $25,000",0 (no vehicles)
23108718,2310871801,35-44 years,Male,Some college,"$25,000-$49,999",0 (no vehicles)
23109187,2310918701,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23099666,2309966601,25-34 years,Prefer not to answer,Bachelor degree,"$75,000-$99,999",1 vehicle
23099666,2309966602,25-34 years,Prefer not to answer,Bachelor degree,"$75,000-$99,999",1 vehicle
23109187,2310918702,35-44 years,Female,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23101273,2310127301,35-44 years,Male,Bachelor degree,"$75,000-$99,999",1 vehicle
23110865,2311086501,75 years or older,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23101340,2310134001,35-44 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23104029,2310402901,25-34 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23101340,2310134002,35-44 years,Male,Bachelor degree,"$200,000 or more",1 vehicle
23109270,2310927001,25-34 years,Male,Bachelor degree,"$75,000-$99,999",0 (no vehicles)
23104063,2310406301,35-44 years,Female,Graduate/post-graduate degree,"$50,000-$74,999",0 (no vehicles)
23104320,2310432001,75 years or older,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23104320,2310432002,75 years or older,Male,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23104756,2310475601,18-24 years,Female,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23104944,2310494401,35-44 years,Male,Graduate/post-graduate degree,"$100,000-$199,999",0 (no vehicles)
23105059,2310505901,65-74 years,Female,Bachelor degree,"$75,000-$99,999",1 vehicle
23105217,2310521701,25-34 years,Male,Graduate/post-graduate degree,"$200,000 or more",1 vehicle
23096577,2309657701,25-34 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",1 vehicle
23099817,2309981701,65-74 years,Female,Graduate/post-graduate degree,"$75,000-$99,999",1 vehicle
23101651,2310165101,55-64 years,Female,Graduate/post-graduate degree,"Under $25,000",1 vehicle
23096635,2309663501,35-44 years,Female,Bachelor degree,"$25,000-$49,999",0 (no vehicles)
23098007,2309800701,35-44 years,Female,Graduate/post-graduate degree,"$100,000-$199,999",2 vehicles
23109643,2310964301,55-64 years,Female,Bachelor degree,"$100,000-$199,999",2 vehicles
