household_id,person_id,age,gender,education
23019455,2301945502,25-34 years,Male,Graduate/post-graduate degree
23024687,2302468701,35-44 years,Male,Some college
23024687,2302468702,35-44 years,Male,Bachelor degree
23023031,2302303101,45-54 years,Female,Graduate/post-graduate degree
23026929,2302692901,35-44 years,Female,Graduate/post-graduate degree
23020190,2302019001,45-54 years,Female,Bachelor degree
23027355,2302735501,25-34 years,Female,Bachelor degree
23018491,2301849101,45-54 years,Female,Graduate/post-graduate degree
23018491,2301849103,55-64 years,Male,Graduate/post-graduate degree
23027564,2302756401,25-34 years,Female,Graduate/post-graduate degree
23027564,2302756402,25-34 years,Male,Bachelor degree
23023534,2302353401,65-74 years,Male,Graduate/post-graduate degree
23023571,2302357101,75 years or older,Female,Some college
23025844,2302584401,25-34 years,Female,Bachelor degree
23023627,2302362701,25-34 years,Female,Graduate/post-graduate degree
23027776,2302777601,65-74 years,Prefer not to answer,Bachelor degree
23025844,2302584402,45-54 years,Male,Graduate/post-graduate degree
23028096,2302809601,25-34 years,Male,Bachelor degree
23015304,2301530401,35-44 years,Female,Graduate/post-graduate degree
23021997,2302199701,55-64 years,Female,Graduate/post-graduate degree
23028288,2302828801,65-74 years,Male,Graduate/post-graduate degree
23021997,2302199702,55-64 years,Male,Graduate/post-graduate degree
23015321,2301532101,55-64 years,Female,Bachelor degree
23028288,2302828802,65-74 years,Female,Bachelor degree
23021997,2302199703,75 years or older,Female,Graduate/post-graduate degree
23015321,2301532102,55-64 years,Female,Bachelor degree
23028315,2302831501,65-74 years,Female,Graduate/post-graduate degree
23030147,2303014701,55-64 years,Female,Bachelor degree
23030147,2303014702,65-74 years,Male,Associates degree
23026247,2302624701,25-34 years,Male,Bachelor degree
23030178,2303017801,45-54 years,Male,Graduate/post-graduate degree
23026247,2302624702,25-34 years,Female,Bachelor degree
23030178,2303017802,35-44 years,Female,Graduate/post-graduate degree
23024392,2302439201,65-74 years,Male,Bachelor degree
23024431,2302443101,75 years or older,Male,Graduate/post-graduate degree
23024431,2302443102,75 years or older,Female,Graduate/post-graduate degree
23030930,2303093001,75 years or older,Male,Graduate/post-graduate degree
23030930,2303093002,55-64 years,Female,Graduate/post-graduate degree
23016190,2301619001,25-34 years,Female,Bachelor degree
23016261,2301626101,35-44 years,Female,Bachelor degree
23042140,2304214001,18-24 years,Female,Graduate/post-graduate degree
23043276,2304327601,35-44 years,Male,Graduate/post-graduate degree
23042288,2304228801,25-34 years,Female,Graduate/post-graduate degree
23031052,2303105201,75 years or older,Male,Bachelor degree
23036894,2303689401,35-44 years,Female,Some college
23033135,2303313501,55-64 years,Female,Graduate/post-graduate degree
23042790,2304279001,35-44 years,Male,Some college
23042790,2304279002,35-44 years,Female,Bachelor degree
23042804,2304280401,75 years or older,Female,Bachelor degree
23043084,2304308401,55-64 years,Female,Some college
23043225,2304322501,25-34 years,Female,Graduate/post-graduate degree
23043276,2304327602,45-54 years,Female,Bachelor degree
23033135,2303313502,55-64 years,Male,Bachelor degree
23031052,2303105202,75 years or older,Female,Some college
23036894,2303689402,35-44 years,Male,Bachelor degree
23036633,2303663301,25-34 years,Female,Bachelor degree
23036874,2303687401,45-54 years,Female,Bachelor degree
23036874,2303687402,45-54 years,Male,Associates degree
23031117,2303111701,65-74 years,Male,Bachelor degree
23031117,2303111702,55-64 years,Female,Some college
23033218,2303321801,25-34 years,Female,Graduate/post-graduate degree
23033218,2303321802,35-44 years,Male,Bachelor degree
23039101,2303910101,35-44 years,Male,Graduate/post-graduate degree
23038450,2303845001,45-54 years,Male,High school graduate
23038450,2303845002,45-54 years,Male,Some college
23039101,2303910102,35-44 years,Female,Graduate/post-graduate degree
23043755,2304375501,55-64 years,Male,Graduate/post-graduate degree
23031966,2303196601,55-64 years,Female,Bachelor degree
23031966,2303196602,55-64 years,Male,Graduate/post-graduate degree
23032100,2303210001,18-24 years,Female,Bachelor degree
23044001,2304400101,65-74 years,Female,Graduate/post-graduate degree
23044172,2304417201,18-24 years,Female,Some college
23044172,2304417202,18-24 years,Male,High school graduate
23040089,2304008901,55-64 years,Female,Graduate/post-graduate degree
23040089,2304008902,55-64 years,Male,Bachelor degree
23041944,2304194401,25-34 years,Female,Bachelor degree
23041944,2304194402,25-34 years,Male,Bachelor degree
23041960,2304196001,25-34 years,Female,Associates degree
23034334,2303433401,35-44 years,Male,Graduate/post-graduate degree
23034334,2303433402,35-44 years,Female,Graduate/post-graduate degree
23034481,2303448101,45-54 years,Female,Graduate/post-graduate degree
23034723,2303472301,18-24 years,Male,Bachelor degree
23047378,2304737801,25-34 years,Male,Bachelor degree
23047378,2304737802,25-34 years,Female,Bachelor degree
23048383,2304838301,35-44 years,Female,Graduate/post-graduate degree
23048976,2304897601,55-64 years,Female,Graduate/post-graduate degree
23049135,2304913501,25-34 years,Male,Graduate/post-graduate degree
23049135,2304913502,25-34 years,Female,Bachelor degree
23044545,2304454501,65-74 years,Male,Bachelor degree
23050483,2305048301,55-64 years,Female,Associates degree
23052371,2305237101,45-54 years,Male,Graduate/post-graduate degree
23052371,2305237102,45-54 years,Female,Bachelor degree
23054129,2305412901,55-64 years,Female,Graduate/post-graduate degree
23058813,2305881301,35-44 years,Female,Bachelor degree
23058813,2305881302,35-44 years,Male,Graduate/post-graduate degree
23045531,2304553101,25-34 years,Female,Bachelor degree
23045531,2304553102,25-34 years,Male,Bachelor degree
23052931,2305293101,45-54 years,Female,Graduate/post-graduate degree
23059118,2305911801,18-24 years,Male,Associates degree
23054467,2305446701,35-44 years,Male,Vocational/technical training
23054467,2305446702,35-44 years,Female,Graduate/post-graduate degree
23045901,2304590101,25-34 years,Male,Graduate/post-graduate degree
23059239,2305923901,25-34 years,Female,Graduate/post-graduate degree
23045901,2304590102,45-54 years,Female,Associates degree
23053067,2305306701,35-44 years,Male,Graduate/post-graduate degree
23054633,2305463301,45-54 years,Male,Bachelor degree
23051670,2305167001,25-34 years,Female,Bachelor degree
23054633,2305463302,45-54 years,Female,Graduate/post-graduate degree
23051670,2305167002,35-44 years,Female,Graduate/post-graduate degree
23053067,2305306703,45-54 years,Female,Bachelor degree
23054633,2305463303,75 years or older,Female,High school graduate
23059620,2305962001,18-24 years,Male,Some college
23059620,2305962002,18-24 years,Non-binary,Some college
23053341,2305334101,35-44 years,Male,Bachelor degree
23053445,2305344501,45-54 years,Female,Associates degree
23056824,2305682401,25-34 years,Female,Bachelor degree
23056824,2305682402,25-34 years,Male,Some college
23057289,2305728901,55-64 years,Male,Graduate/post-graduate degree
23057777,2305777701,45-54 years,Male,Bachelor degree
23057777,2305777702,35-44 years,Female,Bachelor degree
23076280,2307628001,25-34 years,Male,Graduate/post-graduate degree
23060429,2306042901,35-44 years,Female,Bachelor degree
23060429,2306042902,45-54 years,Male,Graduate/post-graduate degree
23060823,2306082301,25-34 years,Prefer not to answer,Bachelor degree
23060941,2306094101,25-34 years,Female,Graduate/post-graduate degree
23060941,2306094102,35-44 years,Female,Graduate/post-graduate degree
23061063,2306106301,18-24 years,Male,Bachelor degree
23076280,2307628002,25-34 years,Female,Graduate/post-graduate degree
23068005,2306800501,65-74 years,Male,Some college
23068152,2306815201,55-64 years,Prefer not to answer,Graduate/post-graduate degree
23062726,2306272601,35-44 years,Female,Bachelor degree
23070319,2307031901,25-34 years,Prefer not to answer,Bachelor degree
23063329,2306332901,55-64 years,Female,Bachelor degree
23063662,2306366201,35-44 years,Male,Bachelor degree
23064164,2306416401,25-34 years,Female,Bachelor degree
23068165,2306816501,65-74 years,Female,Bachelor degree
23072538,2307253801,35-44 years,Female,Bachelor degree
23067071,2306707101,35-44 years,Female,Graduate/post-graduate degree
23067082,2306708201,25-34 years,Female,Bachelor degree
23072538,2307253802,45-54 years,Male,Some college
23076874,2307687401,35-44 years,Male,Bachelor degree
23072672,2307267201,25-34 years,Female,Bachelor degree
23072827,2307282701,65-74 years,Male,High school graduate
23073304,2307330401,45-54 years,Female,Bachelor degree
23073304,2307330402,55-64 years,Male,Bachelor degree
23073653,2307365301,25-34 years,Male,Bachelor degree
23073814,2307381401,45-54 years,Female,Vocational/technical training
23073814,2307381402,35-44 years,Non-binary,Graduate/post-graduate degree
23068588,2306858801,35-44 years,Male,Bachelor degree
23070385,2307038501,25-34 years,Female,Graduate/post-graduate degree
23074536,2307453601,18-24 years,Male,Less than high school
23077549,2307754901,25-34 years,Male,Graduate/post-graduate degree
23077869,2307786901,45-54 years,Female,Bachelor degree
23075213,2307521301,25-34 years,Female,Bachelor degree
23077921,2307792101,45-54 years,Male,Associates degree
23069060,2306906001,25-34 years,Female,Bachelor degree
23069060,2306906002,25-34 years,Male,Bachelor degree
23078283,2307828301,35-44 years,Male,Vocational/technical training
23078283,2307828302,35-44 years,Female,Bachelor degree
23075813,2307581301,25-34 years,Male,Graduate/post-graduate degree
23075813,2307581302,25-34 years,Female,Bachelor degree
23069862,2306986201,18-24 years,Male,Bachelor degree
23069888,2306988801,45-54 years,Female,Some college
23071945,2307194501,18-24 years,Female,Graduate/post-graduate degree
23072026,2307202601,25-34 years,Male,High school graduate
23072026,2307202602,35-44 years,Male,High school graduate
23079028,2307902801,55-64 years,Female,Bachelor degree
23079162,2307916201,18-24 years,Female,Bachelor degree
23087048,2308704801,35-44 years,Male,Graduate/post-graduate degree
23079597,2307959701,25-34 years,Female,Bachelor degree
23079597,2307959702,25-34 years,Male,Bachelor degree
23079943,2307994301,25-34 years,Male,Bachelor degree
23080371,2308037101,25-34 years,Male,Graduate/post-graduate degree
23081346,2308134601,55-64 years,Male,Associates degree
23087048,2308704802,35-44 years,Male,Graduate/post-graduate degree
23087068,2308706801,25-34 years,Female,Graduate/post-graduate degree
23093591,2309359101,25-34 years,Female,Bachelor degree
23093591,2309359102,25-34 years,Male,Graduate/post-graduate degree
23089946,2308994601,35-44 years,Female,Some college
23093683,2309368301,45-54 years,Female,Bachelor degree
23089946,2308994602,35-44 years,Male,High school graduate
23089967,2308996701,25-34 years,Male,Bachelor degree
23089967,2308996702,25-34 years,Female,Graduate/post-graduate degree
23082345,2308234501,25-34 years,Female,High school graduate
23087379,2308737901,65-74 years,Female,Some college
23093905,2309390501,45-54 years,Male,Graduate/post-graduate degree
23093905,2309390502,35-44 years,Female,Graduate/post-graduate degree
23090697,2309069701,25-34 years,Female,Bachelor degree
23082757,2308275701,45-54 years,Male,Associates degree
23090734,2309073401,25-34 years,Female,Bachelor degree
23093926,2309392601,25-34 years,Non-binary,Graduate/post-graduate degree
23090734,2309073402,25-34 years,Male,Bachelor degree
23095078,2309507801,25-34 years,Female,Bachelor degree
23087615,2308761501,45-54 years,Female,Bachelor degree
23091986,2309198601,75 years or older,Prefer not to answer,Bachelor degree
23093926,2309392602,25-34 years,Female,Some college
23087615,2308761502,45-54 years,Male,Graduate/post-graduate degree
23090779,2309077901,18-24 years,Female,Bachelor degree
23092100,2309210001,25-34 years,Male,Graduate/post-graduate degree
23092143,2309214301,35-44 years,Male,Bachelor degree
23092143,2309214302,25-34 years,Female,Graduate/post-graduate degree
23087662,2308766201,25-34 years,Female,Graduate/post-graduate degree
23094078,2309407801,25-34 years,Female,Associates degree
23082922,2308292201,65-74 years,Male,Bachelor degree
23087662,2308766202,25-34 years,Female,Bachelor degree
23094145,2309414501,55-64 years,Male,Bachelor degree
23090890,2309089001,18-24 years,Male,Bachelor degree
23083468,2308346801,35-44 years,Male,Graduate/post-graduate degree
23095268,2309526801,35-44 years,Female,Bachelor degree
23087892,2308789201,55-64 years,Female,Vocational/technical training
23091018,2309101801,25-34 years,Male,Graduate/post-graduate degree
23095268,2309526802,35-44 years,Male,Graduate/post-graduate degree
23087892,2308789202,55-64 years,Male,High school graduate
23086158,2308615801,55-64 years,Female,Some college
23086158,2308615802,55-64 years,Female,Graduate/post-graduate degree
23094495,2309449501,25-34 years,Male,Some college
23094647,2309464701,35-44 years,Male,Bachelor degree
23088138,2308813801,35-44 years,Male,Graduate/post-graduate degree
23091281,2309128101,35-44 years,Female,Bachelor degree
23091281,2309128102,35-44 years,Male,Bachelor degree
23088732,2308873201,35-44 years,Non-binary,Some college
23092634,2309263401,25-34 years,Female,Bachelor degree
23094736,2309473601,18-24 years,Male,Some college
23092634,2309263402,25-34 years,Female,Graduate/post-graduate degree
23095920,2309592001,25-34 years,Female,Some college
23091418,2309141801,18-24 years,Female,High school graduate
23092721,2309272101,25-34 years,Female,Graduate/post-graduate degree
23093108,2309310801,45-54 years,Female,Bachelor degree
23093108,2309310802,45-54 years,Male,Bachelor degree
23093406,2309340601,35-44 years,Non-binary,Graduate/post-graduate degree
23106553,2310655301,65-74 years,Female,Bachelor degree
23107138,2310713801,25-34 years,Male,Bachelor degree
23107142,2310714201,55-64 years,Female,Some college
23107439,2310743901,18-24 years,Female,Bachelor degree
23107439,2310743902,25-34 years,Female,Bachelor degree
23108458,2310845801,18-24 years,Male,Some college
23108718,2310871801,35-44 years,Male,Some college
23109187,2310918701,35-44 years,Male,Graduate/post-graduate degree
23099666,2309966601,25-34 years,Prefer not to answer,Bachelor degree
23099666,2309966602,25-34 years,Prefer not to answer,Bachelor degree
23109187,2310918702,35-44 years,Female,Graduate/post-graduate degree
23101273,2310127301,35-44 years,Male,Bachelor degree
23110865,2311086501,75 years or older,Female,Graduate/post-graduate degree
23101340,2310134001,35-44 years,Male,Graduate/post-graduate degree
23104029,2310402901,25-34 years,Male,Graduate/post-graduate degree
23101340,2310134002,35-44 years,Male,Bachelor degree
23109270,2310927001,25-34 years,Male,Bachelor degree
23104063,2310406301,35-44 years,Female,Graduate/post-graduate degree
23104320,2310432001,75 years or older,Female,Graduate/post-graduate degree
23104320,2310432002,75 years or older,Male,Graduate/post-graduate degree
23104756,2310475601,18-24 years,Female,Bachelor degree
23104944,2310494401,35-44 years,Male,Graduate/post-graduate degree
23105059,2310505901,65-74 years,Female,Bachelor degree
23105217,2310521701,25-34 years,Male,Graduate/post-graduate degree
23096577,2309657701,25-34 years,Female,Graduate/post-graduate degree
23099817,2309981701,65-74 years,Female,Graduate/post-graduate degree
23101651,2310165101,55-64 years,Female,Graduate/post-graduate degree
23096635,2309663501,35-44 years,Female,Bachelor degree
23098007,2309800701,35-44 years,Female,Graduate/post-graduate degree
23109643,2310964301,55-64 years,Female,Bachelor degree
23111406,2311140601,55-64 years,Female,Graduate/post-graduate degree
23109643,2310964302,55-64 years,Male,Bachelor degree
23111413,2311141301,35-44 years,Female,Graduate/post-graduate degree
23111413,2311141302,35-44 years,Male,Graduate/post-graduate degree
23109803,2310980301,35-44 years,Female,Graduate/post-graduate degree
23111732,2311173201,65-74 years,Female,Associates degree
23111732,2311173202,45-54 years,Male,Some college
23098551,2309855101,18-24 years,Female,Bachelor degree
23099899,2309989901,35-44 years,Female,Graduate/post-graduate degree
23099899,2309989902,35-44 years,Male,Associates degree
23102415,2310241501,65-74 years,Non-binary,Bachelor degree
23110100,2311010001,35-44 years,Female,Graduate/post-graduate degree
23100233,2310023301,25-34 years,Male,Bachelor degree
23102738,2310273801,25-34 years,Female,Some college
23110180,2311018001,18-24 years,Male,High school graduate
23098819,2309881901,25-34 years,Male,Graduate/post-graduate degree
23110232,2311023201,45-54 years,Female,Graduate/post-graduate degree
23100406,2310040601,18-24 years,Male,Bachelor degree
23100477,2310047701,45-54 years,Male,Graduate/post-graduate degree
23112731,2311273101,18-24 years,Female,Bachelor degree
23112736,2311273601,25-34 years,Non-binary,Bachelor degree
23099380,2309938001,35-44 years,Female,Graduate/post-graduate degree
23103802,2310380201,18-24 years,Female,Bachelor degree
23097457,2309745701,35-44 years,Male,Bachelor degree
23097457,2309745702,35-44 years,Female,Graduate/post-graduate degree
23131110,2313111001,35-44 years,Male,Graduate/post-graduate degree
23113168,2311316801,25-34 years,Female,Bachelor degree
23113309,2311330901,35-44 years,Female,Vocational/technical training
23131347,2313134701,65-74 years,Female,Graduate/post-graduate degree
23131649,2313164901,35-44 years,Female,Graduate/post-graduate degree
23131649,2313164902,45-54 years,Male,Graduate/post-graduate degree
23132327,2313232701,75 years or older,Male,Bachelor degree
23132795,2313279501,35-44 years,Male,High school graduate
23132795,2313279502,35-44 years,Male,Graduate/post-graduate degree
23132814,2313281401,55-64 years,Female,Associates degree
23132814,2313281402,55-64 years,Male,Associates degree
23132814,2313281403,25-34 years,Male,High school graduate
23133248,2313324801,35-44 years,Female,Graduate/post-graduate degree
23133248,2313324802,35-44 years,Male,Bachelor degree
23130565,2313056501,35-44 years,Male,Graduate/post-graduate degree
23124384,2312438401,55-64 years,Female,Bachelor degree
23130744,2313074401,45-54 years,Female,Bachelor degree
23113769,2311376901,75 years or older,Female,Graduate/post-graduate degree
23130744,2313074402,35-44 years,Female,Bachelor degree
23113955,2311395501,35-44 years,Male,Bachelor degree
23114369,2311436901,25-34 years,Female,Graduate/post-graduate degree
23146865,2314686501,35-44 years,Male,Graduate/post-graduate degree
23147365,2314736501,65-74 years,Female,Bachelor degree
23136512,2313651202,25-34 years,Non-binary,Graduate/post-graduate degree
23139770,2313977001,75 years or older,Female,Graduate/post-graduate degree
23149979,2314997901,45-54 years,Female,Graduate/post-graduate degree
23149979,2314997902,35-44 years,Male,Graduate/post-graduate degree
23148390,2314839001,65-74 years,Male,Bachelor degree
23136722,2313672201,55-64 years,Female,Bachelor degree
23136722,2313672202,65-74 years,Male,Graduate/post-graduate degree
23139969,2313996901,35-44 years,Non-binary,Graduate/post-graduate degree
23136761,2313676101,75 years or older,Female,Graduate/post-graduate degree
23136761,2313676102,65-74 years,Male,Graduate/post-graduate degree
23140081,2314008101,35-44 years,Female,Bachelor degree
23148647,2314864701,18-24 years,Female,High school graduate
23148647,2314864702,45-54 years,Female,Graduate/post-graduate degree
23140081,2314008102,35-44 years,Male,Bachelor degree
23137347,2313734701,25-34 years,Female,Graduate/post-graduate degree
23137450,2313745001,75 years or older,Male,Graduate/post-graduate degree
23148647,2314864703,55-64 years,Male,Graduate/post-graduate degree
23137450,2313745002,65-74 years,Male,Bachelor degree
23135240,2313524001,45-54 years,Female,Bachelor degree
23135240,2313524002,45-54 years,Male,Graduate/post-graduate degree
23135375,2313537501,65-74 years,Female,Graduate/post-graduate degree
23140178,2314017801,45-54 years,Male,Graduate/post-graduate degree
23135389,2313538901,35-44 years,Female,Graduate/post-graduate degree
23140178,2314017802,45-54 years,Female,Bachelor degree
23140178,2314017803,18-24 years,Male,High school graduate
23140178,2314017804,18-24 years,Female,Less than high school
23150541,2315054101,55-64 years,Male,Graduate/post-graduate degree
23150541,2315054102,65-74 years,Female,Graduate/post-graduate degree
23150818,2315081801,18-24 years,Male,Graduate/post-graduate degree
23142683,2314268301,65-74 years,Male,Graduate/post-graduate degree
23142683,2314268302,55-64 years,Male,Less than high school
23135578,2313557801,55-64 years,Female,Some college
23135823,2313582301,75 years or older,Female,Bachelor degree
23150885,2315088501,25-34 years,Male,Graduate/post-graduate degree
23135910,2313591001,55-64 years,Male,Graduate/post-graduate degree
23142791,2314279101,55-64 years,Female,Graduate/post-graduate degree
23142791,2314279102,55-64 years,Male,Graduate/post-graduate degree
23136208,2313620801,35-44 years,Female,Graduate/post-graduate degree
23141630,2314163001,25-34 years,Female,Associates degree
23136512,2313651201,25-34 years,Female,Graduate/post-graduate degree
23141630,2314163002,35-44 years,Male,Graduate/post-graduate degree
23138542,2313854201,55-64 years,Male,Some college
23145052,2314505201,35-44 years,Male,Graduate/post-graduate degree
23138660,2313866001,75 years or older,Male,Bachelor degree
23145052,2314505202,35-44 years,Female,Graduate/post-graduate degree
23138660,2313866002,65-74 years,Female,Graduate/post-graduate degree
23138757,2313875701,55-64 years,Male,Bachelor degree
23151238,2315123801,25-34 years,Male,Graduate/post-graduate degree
23141879,2314187901,25-34 years,Female,Graduate/post-graduate degree
23151238,2315123802,35-44 years,Female,Graduate/post-graduate degree
23144047,2314404701,55-64 years,Male,Bachelor degree
23144047,2314404702,55-64 years,Female,Associates degree
23146097,2314609701,25-34 years,Male,Graduate/post-graduate degree
23146097,2314609702,25-34 years,Female,Bachelor degree
23156970,2315697002,45-54 years,Male,Associates degree
23164793,2316479301,25-34 years,Female,Bachelor degree
23165095,2316509501,45-54 years,Male,Graduate/post-graduate degree
23165144,2316514401,55-64 years,Female,Graduate/post-graduate degree
23165144,2316514402,55-64 years,Female,Some college
23165156,2316515601,35-44 years,Male,Some college
23165156,2316515602,35-44 years,Male,Graduate/post-graduate degree
23165521,2316552101,75 years or older,Female,Graduate/post-graduate degree
23156970,2315697003,18-24 years,Male,Some college
23151352,2315135201,75 years or older,Female,Bachelor degree
23157025,2315702501,25-34 years,Female,Graduate/post-graduate degree
23151614,2315161401,18-24 years,Female,Some college
23153489,2315348901,35-44 years,Male,Graduate/post-graduate degree
23151628,2315162801,35-44 years,Female,Graduate/post-graduate degree
23153489,2315348902,35-44 years,Female,Graduate/post-graduate degree
23161766,2316176601,55-64 years,Male,Bachelor degree
23155439,2315543901,55-64 years,Female,Bachelor degree
23155439,2315543902,55-64 years,Male,Graduate/post-graduate degree
23161766,2316176602,45-54 years,Female,Graduate/post-graduate degree
23153568,2315356801,25-34 years,Female,Bachelor degree
23153568,2315356802,25-34 years,Male,Bachelor degree
23155506,2315550601,25-34 years,Female,Graduate/post-graduate degree
23155506,2315550602,35-44 years,Male,Graduate/post-graduate degree
23157696,2315769601,25-34 years,Female,Graduate/post-graduate degree
23157696,2315769602,25-34 years,Male,Bachelor degree
23159999,2315999901,45-54 years,Female,Bachelor degree
23159999,2315999902,25-34 years,Female,Bachelor degree
23160251,2316025101,18-24 years,Female,Bachelor degree
23162062,2316206201,45-54 years,Female,Bachelor degree
23162062,2316206202,45-54 years,Male,Graduate/post-graduate degree
23166824,2316682401,65-74 years,Female,Bachelor degree
23166824,2316682402,65-74 years,Male,Bachelor degree
23156082,2315608201,55-64 years,Male,Associates degree
23158323,2315832301,25-34 years,Male,Bachelor degree
23158323,2315832302,25-34 years,Female,Bachelor degree
23153991,2315399101,65-74 years,Female,Bachelor degree
23158417,2315841701,45-54 years,Male,Some college
23167034,2316703401,55-64 years,Female,Graduate/post-graduate degree
23153991,2315399102,65-74 years,Male,Graduate/post-graduate degree
23154178,2315417801,25-34 years,Female,Graduate/post-graduate degree
23154178,2315417802,25-34 years,Male,Bachelor degree
23154343,2315434301,35-44 years,Male,Graduate/post-graduate degree
23154343,2315434302,35-44 years,Female,Graduate/post-graduate degree
23167215,2316721501,45-54 years,Male,Bachelor degree
23158862,2315886201,35-44 years,Male,Some college
23167215,2316721502,45-54 years,Male,Bachelor degree
23160732,2316073201,25-34 years,Female,Bachelor degree
23156716,2315671601,35-44 years,Male,High school graduate
23156721,2315672101,55-64 years,Female,Graduate/post-graduate degree
23160732,2316073202,25-34 years,Male,Graduate/post-graduate degree
23156721,2315672102,55-64 years,Male,Graduate/post-graduate degree
23159120,2315912001,25-34 years,Female,Graduate/post-graduate degree
23152615,2315261501,75 years or older,Male,Graduate/post-graduate degree
23154716,2315471601,35-44 years,Male,Graduate/post-graduate degree
23160843,2316084301,45-54 years,Male,Bachelor degree
23156970,2315697001,45-54 years,Female,Associates degree
23152615,2315261502,75 years or older,Female,Bachelor degree
23152615,2315261503,35-44 years,Female,Some college
23153120,2315312001,65-74 years,Male,Graduate/post-graduate degree
23153120,2315312002,55-64 years,Female,Graduate/post-graduate degree
23154716,2315471604,35-44 years,Female,Graduate/post-graduate degree
23181943,2318194304,25-34 years,Female,Some college
23182395,2318239501,25-34 years,Male,Graduate/post-graduate degree
23182415,2318241501,35-44 years,Female,Graduate/post-graduate degree
23183549,2318354901,25-34 years,Non-binary,Graduate/post-graduate degree
23184022,2318402201,25-34 years,Female,Bachelor degree
23184022,2318402202,35-44 years,Male,Graduate/post-graduate degree
23184486,2318448601,35-44 years,Male,High school graduate
23184551,2318455101,25-34 years,Male,Graduate/post-graduate degree
23184551,2318455102,18-24 years,Male,High school graduate
23184568,2318456801,25-34 years,Female,Associates degree
23184873,2318487301,18-24 years,Female,Some college
23185065,2318506501,25-34 years,Male,Some college
23179894,2317989401,55-64 years,Female,High school graduate
23170689,2317068901,45-54 years,Female,Graduate/post-graduate degree
23170689,2317068902,45-54 years,Male,Some college
23171692,2317169201,25-34 years,Female,Vocational/technical training
23171798,2317179801,25-34 years,Female,Graduate/post-graduate degree
23171798,2317179802,18-24 years,Female,Bachelor degree
23172199,2317219901,25-34 years,Female,Associates degree
23172199,2317219902,35-44 years,Female,Bachelor degree
23175254,2317525401,55-64 years,Female,Vocational/technical training
23180127,2318012701,25-34 years,Female,Bachelor degree
23177907,2317790701,25-34 years,Female,Graduate/post-graduate degree
23180218,2318021801,35-44 years,Female,Bachelor degree
23187459,2318745901,35-44 years,Female,Graduate/post-graduate degree
23187459,2318745902,45-54 years,Male,Some college
23181306,2318130601,25-34 years,Female,Some college
23181532,2318153201,45-54 years,Female,Graduate/post-graduate degree
23181532,2318153202,45-54 years,Male,Graduate/post-graduate degree
23181600,2318160001,18-24 years,Female,Bachelor degree
23181798,2318179801,35-44 years,Female,Graduate/post-graduate degree
23181798,2318179802,35-44 years,Female,Graduate/post-graduate degree
23181943,2318194301,25-34 years,Male,Some college
23187774,2318777401,35-44 years,Prefer not to answer,Some college
