ID,age,Gender,NbCar,NbMoto,NbBicy,CarAvail,DestAct,Income,Education,distance_km,TimePT,TimeCar,CostPT,CostCarCHF,NbTransf,Choice
10360139,46,2,2,1,3,1,1,6,5,31.0,135,33,15.6,4.46,4,1
10360139,46,2,2,1,3,1,9,6,5,1.4,0,2,0.0,0.49,0,1
10360159,42,2,1,0,2,1,8,3,3,22.5,232,29,11.8,3.2,2,1
10360159,42,2,1,0,2,1,8,3,3,0.4,0,1,0.0,0.2,0,2
10360162,70,1,1,0,2,1,4,2,2,3.5,98,5,3.0,0.6,2,1
10360162,70,1,1,0,2,1,8,2,2,0.7,11,2,2.2,0.21,0,2
10360162,70,1,1,0,2,1,10,2,2,1.1,15,3,0.0,0.46,0,2
10360177,34,1,2,1,2,1,4,5,3,16.5,131,15,12.4,2.32,2,1
10360177,34,1,2,1,2,1,4,5,3,54.0,213,39,24.8,7.06,5,1
10360193,37,1,2,0,0,1,1,6,7,32.5,159,28,43.2,4.61,5,1
10360195,52,2,2,1,4,1,1,5,5,51.5,194,47,19.2,6.98,5,1
10360196,52,2,2,1,4,1,1,5,5,27.0,126,26,13.2,3.68,4,1
10360212,59,1,2,0,0,1,7,5,6,16.0,61,15,6.2,2.39,3,1
10360212,59,1,2,0,0,1,4,5,6,6.5,73,8,6.2,0.87,2,1
10360217,19,2,2,0,3,3,3,4,4,29.0,81,32,8.8,4.37,3,0
10360225,60,2,1,0,3,1,1,5,6,16.0,60,17,4.8,2.45,2,1
10360225,60,2,1,0,3,1,4,5,6,97.0,228,64,77.8,12.8,4,1
10360225,60,2,1,0,3,1,1,5,6,298.0,269,180,89.2,38.61,2,1
10360235,61,1,3,1,5,1,1,6,4,67.0,219,49,38.4,9.04,4,1
10360236,48,2,3,1,5,1,1,6,4,32.5,193,40,15.8,5.03,3,1
10360266,72,2,1,0,0,1,9,3,5,15.5,74,22,7.8,2.46,1,1
10360266,72,2,1,0,0,1,8,3,5,9.0,162,14,6.0,1.58,3,1
10360266,72,2,1,0,0,1,10,3,5,30.0,84,34,11.0,4.7,2,1
10360284,66,2,2,0,2,1,7,4,3,34.0,162,33,14.0,4.63,6,1
10360284,66,2,2,0,2,1,7,4,3,21.6,151,28,9.6,3.28,2,1
10360285,39,2,2,1,4,1,7,4,6,29.0,176,30,11.0,4.49,2,1
10360285,39,2,2,1,4,1,7,4,6,30.0,143,34,11.0,4.79,4,1
10360286,42,1,2,1,4,1,1,4,7,88.0,185,61,43.2,11.78,4,1
10360414,44,1,1,1,5,2,1,4,4,25.0,108,23,9.6,3.4,4,1
10360414,44,1,1,1,5,2,1,4,4,27.0,102,24,9.6,3.73,4,1
10360415,36,2,1,1,5,1,8,4,3,14.0,77,18,6.0,2.01,2,1
10360460,27,1,2,0,1,1,1,5,3,17.0,66,16,9.6,2.41,4,1
10360462,65,2,1,0,0,1,9,1,6,50.5,124,46,12.4,6.68,5,1
10360464,17,1,1,1,4,3,3,5,2,22.5,91,22,9.6,2.95,2,0
10360465,43,2,1,1,4,1,4,5,3,10.5,138,12,9.6,1.32,1,1
10360465,43,2,1,1,4,1,10,5,3,20.5,130,20,9.6,2.74,3,1
10360475,50,1,2,0,7,1,9,6,8,0.7,53,1,5.6,0.16,1,0
10360475,50,1,2,0,7,1,5,6,8,109.0,162,85,42.0,14.37,5,1
10360518,28,2,2,0,2,1,1,6,7,31.0,104,35,11.0,4.63,4,1
10360519,29,1,2,0,2,1,1,6,6,109.0,279,117,46.2,15.35,4,1
10360519,29,1,2,0,2,1,9,6,6,24.0,127,31,12.4,3.48,4,1
10360526,31,1,1,1,3,2,1,3,2,38.5,151,44,13.2,5.89,4,0
10360527,41,2,1,1,3,1,4,3,3,16.5,102,14,9.6,2.24,4,1
10360527,41,2,1,1,3,1,7,3,3,11.0,82,12,6.0,1.48,1,1
10360532,37,1,2,0,2,1,1,5,7,31.0,105,29,11.0,4.63,4,1
10360533,39,2,2,0,3,1,1,5,4,119.0,251,76,65.8,15.96,7,1
10360536,39,1,1,1,1,1,3,4,6,30.0,166,41,12.6,4.34,2,1
10360566,52,1,1,0,1,1,8,4,3,32.0,141,36,14.4,4.87,4,1
10360574,36,1,3,1,3,1,1,4,3,16.0,58,16,4.8,2.42,2,1
10360574,36,1,3,1,3,1,7,4,3,8.5,51,16,4.8,1.22,1,1
10360574,36,1,3,1,3,1,3,4,3,14.0,44,15,4.8,2.24,1,1
10360575,51,2,3,1,4,1,4,4,3,18.0,81,15,12.4,2.39,2,1
10360575,51,2,3,1,4,1,8,4,3,3.0,19,3,3.0,0.42,0,1
10360575,51,2,3,1,4,1,6,4,3,16.0,49,16,4.8,2.42,2,1
10540009,44,2,2,1,3,1,1,4,3,69.0,222,55,49.6,9.06,4,1
10540009,44,2,2,1,3,1,4,4,3,13.0,99,16,5.6,1.76,1,1
10540009,44,2,2,1,3,1,8,4,3,3.8,65,5,5.4,0.6,0,1
10540031,45,2,2,0,4,1,8,4,3,82.5,306,92,20.2,10.89,8,1
10540046,45,1,1,0,1,1,1,3,5,22.5,120,39,12.2,3.85,3,1
10540063,82,1,1,0,0,1,4,2,3,8.0,67,10,4.8,1.09,1,1
10540063,82,1,1,0,0,1,2,2,3,15.0,57,18,4.8,2.15,1,1
10540066,55,1,2,0,4,1,1,5,5,15.0,57,17,4.8,1.99,2,1
10540067,55,1,2,0,4,1,4,5,5,25.0,26,32,2.6,3.31,0,1
10540067,55,1,2,0,4,1,4,5,5,0.4,10,0,0.0,0.07,0,1
10540067,55,1,2,0,4,1,1,5,5,12.0,66,16,3.0,1.75,1,1
10540067,55,1,2,0,4,1,7,5,5,2.0,42,3,2.6,0.36,0,1
10540128,64,2,2,0,3,1,6,3,3,23.5,124,40,12.2,3.77,2,1
10540131,40,2,2,0,5,1,9,5,3,32.0,101,31,17.6,4.54,2,1
10540131,40,2,2,0,5,1,11,5,3,32.0,105,31,14.2,4.51,1,1
10540169,69,1,1,0,2,1,4,3,3,17.5,112,20,7.8,2.21,1,1
10540178,59,1,2,0,2,1,4,5,3,2.5,66,3,4.8,0.39,3,1
10540178,59,1,2,0,2,1,1,5,3,28.0,186,34,8.2,3.94,3,1
10540187,45,1,1,1,4,2,1,6,3,18.0,96,34,11.0,3.2,2,1
10540188,20,2,3,0,4,3,1,4,3,9.0,54,18,4.8,1.6,3,0
10540202,53,2,2,0,2,1,4,6,3,10.0,92,16,8.2,1.58,0,1
10540215,40,2,2,0,2,1,1,6,2,17.0,67,17,6.2,2.19,3,1
10540216,30,1,2,0,2,1,1,6,6,45.0,139,33,16.4,5.79,2,1
10540237,34,2,2,0,2,1,9,6,7,6.5,64,11,6.0,1.16,1,1
10540260,20,2,1,0,3,2,3,3,4,23.5,123,41,13.6,4.08,2,0
10540265,44,1,2,0,4,1,8,6,8,22.0,168,28,70.2,2.97,5,1
10540266,41,2,2,0,4,1,1,5,7,28.8,234,40,15.8,4.18,6,1
10540269,52,2,2,1,2,1,10,3,4,17.5,97,33,11.0,3.27,0,1
10540271,35,2,2,0,6,1,8,5,7,23.0,196,25,12.6,3.12,5,1
10540271,35,2,2,0,6,1,8,5,7,5.1,93,8,6.0,0.85,1,1
10540297,44,1,1,0,0,1,1,6,7,208.0,270,171,86.6,28.12,4,1
10540298,33,2,1,0,0,3,1,6,7,68.0,167,63,25.0,9.76,5,0
10540305,70,1,1,0,0,1,4,4,3,14.5,101,19,5.6,1.98,0,1
10540306,70,1,1,0,0,1,6,4,3,102.0,264,88,27.6,13.6,6,1
10540351,51,1,2,1,2,1,2,5,3,206.0,470,180,61.2,29.12,8,1
10540354,43,2,2,1,2,1,1,5,4,10.9,76,14,7.6,1.53,2,1
10540384,75,1,2,0,3,1,11,6,5,12.0,65,17,4.8,1.79,0,1
10540395,47,1,2,1,4,1,1,6,6,37.0,140,66,26.6,6.71,6,1
10540396,40,2,2,1,4,1,1,6,6,11.5,111,16,10.4,1.82,0,1
10540462,79,1,1,0,0,1,11,4,3,26.5,141,38,11.6,4.31,1,1
10540514,77,2,2,0,1,1,7,3,4,9.5,67,14,4.8,1.39,0,1
10540514,77,2,2,0,1,1,7,3,4,9.5,65,14,4.8,1.39,1,0
10540514,77,2,2,0,1,1,7,3,4,5.5,44,6,3.0,0.72,0,1
10540514,77,2,2,0,1,1,7,3,4,22.0,103,26,17.2,2.84,3,0
10540515,29,2,2,0,0,1,1,4,7,44.0,207,55,49.6,5.98,4,1
10540515,29,2,2,0,0,1,4,4,7,13.0,68,16,5.2,1.76,0,1
10540516,30,1,2,0,0,1,10,4,8,25.0,55,38,11.0,3.77,1,1
10540517,39,1,2,0,4,1,1,4,2,23.0,117,33,8.8,3.48,0,1
10540518,41,2,2,0,4,1,1,4,6,18.0,96,32,11.0,3.41,1,1
10540531,74,1,2,0,0,1,2,2,6,28.5,166,44,12.2,4.47,2,1
10540532,71,2,2,0,0,1,4,2,5,27.5,119,37,13.6,4.08,4,1
10540532,71,2,2,0,0,1,4,2,5,5.5,32,6,3.0,0.72,0,1
10540548,48,1,1,1,3,2,1,5,3,19.0,110,35,11.0,3.4,0,1
10540548,48,1,1,1,3,2,1,5,3,9.5,55,18,4.8,1.71,1,1
10540563,46,2,2,0,8,1,1,6,7,134.0,461,117,79.4,17.77,10,1
10540606,77,1,1,0,3,1,4,3,6,18.5,164,24,9.6,2.46,2,1
10540647,58,2,2,0,4,1,4,6,5,14.0,146,18,12.4,1.89,2,1
10540659,73,1,1,0,4,1,4,2,7,8.0,71,10,4.8,1.07,1,1
10540660,73,1,1,0,4,1,4,2,7,8.0,71,10,4.8,1.07,1,1
10540672,34,2,2,0,4,1,1,5,3,23.0,84,31,9.6,3.24,4,1
10540675,63,2,0,0,2,2,4,2,3,2.0,25,3,2.6,0.4,0,1
10540675,63,2,0,0,2,2,4,2,3,3.0,23,4,5.6,0.49,0,1
10540689,38,1,2,0,4,1,1,6,4,21.0,141,28,6.0,2.92,3,1
10540689,38,1,2,0,4,1,1,6,4,21.0,118,28,6.0,2.92,6,1
10540691,43,2,2,0,4,1,1,6,7,15.6,135,20,13.2,2.19,3,1
10540691,43,2,2,0,4,1,4,6,7,5.5,68,7,5.2,0.79,0,1
10540692,37,1,2,0,3,1,11,6,7,65.5,278,62,61.6,8.54,5,1
10540692,37,1,2,0,3,1,4,6,7,3.1,33,4,5.4,0.54,0,1
10540756,83,2,1,0,0,1,4,2,6,4.0,51,7,2.6,0.69,0,1
10540774,57,1,2,0,3,1,7,6,7,72.0,232,77,50.0,10.15,4,1
10540806,67,2,2,0,0,2,11,3,1,3.0,22,5,2.6,0.53,0,1
10540807,43,1,1,0,0,1,3,1,7,7.0,59,11,4.8,1.2,0,1
10541086,41,2,1,1,4,1,1,5,3,66.0,245,71,28.4,9.37,4,1
10541086,41,2,1,1,4,1,1,5,3,24.0,85,35,11.0,3.54,1,1
10980079,40,1,2,0,7,1,1,5,6,19.6,154,30,9.6,3.24,0,1
10980080,38,2,2,0,6,1,8,5,6,15.5,126,20,6.2,2.21,2,1
10980080,38,2,2,0,6,1,4,5,6,52.0,153,41,11.0,6.99,3,1
10980080,38,2,2,0,6,1,8,5,6,15.5,48,20,2.2,2.21,0,1
10980080,38,2,2,0,6,1,9,5,6,14.5,114,20,6.2,2.14,2,1
10980111,68,1,1,0,0,1,4,2,4,23.0,203,29,14.0,3.6,1,1
11460027,52,2,1,0,2,3,1,5,3,33.1,128,46,21.0,5.4,2,0
11460028,64,1,1,0,2,1,10,5,4,130.5,192,96,48.2,17.45,3,0
11460060,47,1,2,0,6,1,8,6,7,70.5,239,70,45.4,9.46,6,1
11460070,56,2,2,0,2,1,2,6,6,43.0,155,47,22.6,5.93,6,1
11460082,58,2,2,2,0,1,1,5,4,71.0,206,71,26.0,9.56,6,1
11460106,75,1,1,0,0,1,1,2,2,2.5,20,3,2.2,0.34,0,0
14050001,41,2,2,1,4,1,1,4,3,5.0,70,10,6.8,1.02,0,1
14050001,41,2,2,1,4,1,1,4,3,5.0,35,9,6.8,1.0,0,1
14050047,31,1,3,1,2,1,1,6,3,96.0,183,69,34.4,12.93,5,1
14050047,31,1,3,1,2,1,10,6,3,75.0,181,53,36.4,9.76,4,1
14050075,44,1,2,0,4,1,1,4,3,76.0,145,54,32.4,9.84,4,0
14050076,39,2,2,0,4,1,7,4,3,8.0,70,16,7.4,1.53,0,1
14050076,39,2,2,0,4,1,4,4,3,17.5,100,23,8.4,2.68,2,1
14050133,37,1,1,0,2,1,2,6,3,128.0,284,95,62.6,17.77,3,1
14050134,34,2,1,0,2,1,8,6,7,28.0,105,24,21.8,3.93,1,1
14050180,47,2,1,0,4,1,1,2,3,9.5,55,9,3.4,1.29,0,1
14050180,47,2,1,0,4,1,4,2,3,4.0,20,8,3.4,0.79,0,1
14050182,30,1,2,0,2,1,4,4,7,33.0,107,30,9.6,4.41,2,1
14050186,37,1,2,1,9,1,1,5,3,15.0,126,20,11.4,2.32,2,1
14050186,37,1,2,1,9,1,1,5,3,15.0,134,20,8.0,2.32,2,1
14050193,40,2,1,1,4,1,8,4,6,17.0,97,24,6.8,2.74,2,1
14050226,76,2,0,0,1,3,3,3,4,3.5,18,6,4.0,0.64,0,0
14050250,65,1,2,2,2,1,10,6,3,184.0,170,112,56.4,23.85,3,0
14050278,46,1,2,0,4,1,8,6,7,85.0,289,62,40.0,11.32,6,1
19130036,29,2,2,0,0,1,6,5,7,53.5,253,46,41.0,6.74,4,1
19130080,43,2,2,0,5,1,11,6,6,31.6,98,31,15.2,4.57,1,1
19130080,43,2,2,0,5,1,8,6,6,1.2,14,2,0.0,0.37,0,1
19130148,42,2,2,0,3,1,1,3,4,25.5,76,27,15.8,3.53,1,1
19130148,42,2,2,0,3,1,2,3,4,6.0,12,8,3.4,0.96,0,1
19130149,41,1,2,0,4,1,1,2,6,37.0,162,34,21.6,5.12,2,1
19130149,41,1,2,0,4,1,1,2,6,35.0,150,32,23.2,5.07,2,1
19130179,66,1,1,0,2,1,1,3,6,10.5,44,12,6.8,1.39,0,1
19130202,46,1,2,0,7,1,1,6,8,51.0,188,51,45.0,6.48,3,1
19130203,52,2,2,0,7,1,1,6,6,12.0,26,16,6.0,1.89,0,2
19130203,52,2,2,0,7,1,1,6,6,12.0,26,16,6.0,1.89,0,2
19130205,49,2,2,0,1,1,9,2,3,10.0,134,12,15.8,1.53,2,1
19130205,49,2,2,0,1,1,9,2,3,18.0,218,20,21.2,2.84,1,1
19130206,66,1,2,0,0,1,9,2,3,10.0,134,12,15.8,1.53,2,1
19130206,66,1,2,0,0,1,9,2,3,32.0,118,33,24.2,4.7,0,1
19130213,35,2,2,0,3,1,4,4,3,189.0,380,135,94.0,25.31,7,1
19130238,67,1,1,0,2,1,10,4,3,10.0,138,12,24.8,1.53,2,1
19130252,61,1,1,0,0,1,1,5,3,122.0,180,86,51.4,18.69,2,0
19130279,67,2,2,1,1,2,7,3,3,508.9,519,378,152.8,66.36,6,0
19130374,42,2,1,0,0,1,4,3,3,141.5,367,133,72.0,26.14,6,1
19130486,35,1,1,0,3,2,1,5,6,2.5,19,4,3.4,0.43,0,0
19130578,31,2,2,0,2,1,1,3,6,17.0,44,16,9.6,2.49,1,1
19130578,31,2,2,0,2,1,4,3,6,4.5,31,6,3.4,0.96,0,1
19130578,31,2,2,0,2,1,10,3,6,4.5,29,5,3.4,0.92,0,1
19130685,47,1,4,2,8,1,2,5,3,235.0,228,171,72.0,30.25,3,1
19130766,57,1,1,0,2,1,1,4,3,82.0,145,54,33.6,10.7,4,1
19130798,40,1,1,1,0,2,2,3,3,42.0,113,42,34.6,5.4,2,1
19130798,40,1,1,1,0,2,1,3,3,42.0,188,42,34.6,5.4,2,1
19130855,34,2,2,0,2,1,1,2,3,31.0,72,27,15.2,4.13,1,1
19130855,34,2,2,0,2,1,1,2,3,31.0,126,27,29.6,4.14,2,1
19130867,31,1,1,0,2,1,9,4,7,18.0,49,15,10.2,2.51,0,1
19130871,51,2,2,0,2,1,1,6,6,78.5,220,59,41.8,10.27,4,1
19130883,68,2,1,0,1,1,8,2,3,22.0,74,21,12.8,3.12,1,1
19130883,68,2,1,0,1,1,8,2,3,22.0,79,21,12.8,3.12,1,1
19130912,74,1,1,0,0,1,4,4,6,4.0,22,6,6.0,0.73,0,1
19130912,74,1,1,0,0,1,4,4,6,28.0,94,26,16.4,3.67,0,1
19130933,78,1,1,0,0,1,7,4,3,3.0,19,5,3.4,0.53,0,1
19130963,53,2,2,0,3,1,1,4,7,4.5,28,7,6.0,0.79,0,1
19130963,53,2,2,0,3,1,7,4,7,0.9,12,1,3.0,0.19,0,1
19610035,45,2,1,0,6,2,1,6,8,5.5,72,14,5.2,1.39,1,1
19610035,45,2,1,0,6,2,1,6,8,5.5,73,14,5.2,1.39,1,1
19610100,64,1,2,0,0,1,7,5,7,29.3,158,49,28.0,4.96,1,1
19610114,52,2,2,0,4,1,1,4,4,16.2,82,26,10.6,2.67,0,1
19610182,29,2,1,0,0,1,1,3,7,25.0,75,39,12.4,3.97,0,1
19610203,64,2,2,1,1,1,4,5,6,183.2,237,128,60.0,24.62,4,1
19650022,58,2,2,0,2,1,4,3,6,9.5,53,19,4.8,1.81,1,1
19650025,45,1,2,1,2,1,1,4,6,7.1,44,15,6.4,1.63,0,1
19650025,45,1,2,1,2,1,1,4,6,13.5,78,27,7.4,2.81,1,1
19650025,45,1,2,1,2,1,9,4,6,14.0,72,30,6.4,2.94,0,1
19650026,42,2,2,1,2,1,1,4,3,14.0,89,28,7.4,2.87,2,1
19650026,42,2,2,1,2,1,8,4,3,9.5,119,22,12.4,2.45,0,1
19650041,36,1,1,0,0,1,4,6,6,16.9,96,38,11.0,3.78,0,1
19650041,36,1,1,0,0,1,9,6,6,4.0,10,7,3.0,0.73,0,1
19650059,25,2,2,1,2,1,6,4,5,21.5,197,33,14.2,3.44,1,1
19650071,52,1,2,1,4,1,7,3,3,0.1,24,0,3.0,0.13,0,1
19650072,52,1,2,1,4,1,11,3,3,39.3,262,61,27.6,6.48,4,1
19650138,48,1,2,0,4,1,1,6,7,14.0,75,34,8.8,3.25,1,1
19650139,38,1,2,1,4,1,1,5,5,110.0,257,120,47.4,17.61,4,1
19650217,33,1,2,1,2,1,1,5,3,7.5,62,16,9.0,1.53,1,1
19650218,37,2,2,1,2,1,1,5,3,14.0,52,30,7.4,3.25,0,1
19650224,48,2,1,0,1,1,1,3,3,24.0,197,40,12.8,4.06,3,1
19650224,48,2,1,0,1,1,1,3,3,24.0,182,40,16.8,4.06,2,1
19650242,52,2,2,0,4,2,1,5,6,18.5,165,33,10.2,3.4,2,1
19650257,31,1,1,0,1,1,1,5,3,10.0,43,24,3.4,2.32,0,1
19650281,37,1,1,0,5,2,1,5,3,18.0,61,36,8.8,4.24,1,0
19650295,55,1,1,1,2,1,1,4,5,64.0,137,64,28.0,9.19,2,1
19650327,60,2,1,0,0,1,1,5,3,14.7,127,23,16.0,2.31,0,0
19650328,58,1,1,0,0,1,6,5,7,1.4,24,4,6.0,0.63,0,2
19650328,58,1,1,0,0,1,6,5,7,4.0,24,8,6.0,0.86,0,2
19650425,36,2,1,0,0,1,1,3,6,17.5,139,35,8.6,3.47,0,1
19650447,37,2,1,0,2,1,1,2,3,4.0,22,11,3.4,1.07,0,1
19650447,37,2,1,0,2,1,1,2,3,13.0,55,26,9.0,2.45,1,1
19650448,37,2,1,0,2,1,1,2,3,10.0,45,23,7.4,2.32,0,0
19650490,42,2,3,0,4,1,8,4,3,115.4,244,95,45.8,16.04,1,1
19650491,42,2,3,0,4,1,4,4,3,2.4,22,4,3.0,0.52,0,2
19650491,42,2,3,0,4,1,8,4,3,2.5,21,4,3.0,0.5,0,1
19650511,50,2,3,1,2,1,1,4,4,1.2,30,2,3.0,0.26,0,1
19650512,52,1,3,1,2,1,1,4,3,7.0,64,16,3.4,1.58,1,1
19650575,54,2,1,0,0,1,10,3,6,2.0,24,4,6.0,0.54,0,1
19650575,54,2,1,0,0,1,1,3,6,17.5,111,31,9.6,3.17,3,1
19650586,36,2,2,2,4,1,1,2,3,5.0,37,13,6.2,1.25,1,1
19650626,28,1,1,0,4,1,8,6,7,3.0,35,7,3.0,0.67,0,1
19650626,28,1,1,0,4,1,8,6,7,19.0,149,27,17.0,2.99,1,1
19650626,28,1,1,0,4,1,8,6,7,16.0,130,24,10.8,2.52,1,1
19650631,32,2,2,3,2,1,1,4,3,28.0,146,59,18.4,6.03,0,1
19650656,47,2,1,0,0,1,1,3,4,33.0,239,69,19.8,6.91,2,1
19650699,51,1,2,0,4,1,7,4,3,10.0,37,17,6.8,2.03,0,1
19650699,51,1,2,0,4,1,8,4,3,5.0,43,9,6.4,1.0,0,1
19650700,51,1,2,0,4,1,7,4,3,12.8,103,28,6.0,2.92,0,1
19730033,37,2,2,1,4,1,1,6,6,46.0,203,57,23.25,6.94,4,1
19730034,37,2,2,1,4,1,9,6,6,77.0,303,96,44.6,11.82,5,1
19730078,46,2,1,0,3,2,4,5,3,30.9,150,53,16.8,5.32,1,1
19730085,27,2,1,1,1,2,1,3,7,14.0,82,30,12.0,2.89,0,0
19730119,28,2,2,1,2,2,1,4,3,15.0,51,24,4.8,2.35,0,1
19730126,28,2,1,0,0,2,1,2,3,30.0,98,48,9.6,4.74,0,0
20860315,42,2,2,0,5,1,4,4,3,5.5,35,9,3.8,0.95,1,1
20860315,42,2,2,0,5,1,2,4,3,7.0,15,10,0.0,1.23,0,1
28000144,63,1,2,0,1,1,6,5,6,3.5,33,8,4.4,1.02,0,1
28000144,63,1,2,0,1,1,7,5,6,2.5,40,6,4.4,0.73,1,2
28000244,38,1,1,0,4,1,1,5,6,121.0,95,130,24.2,16.29,3,0
28000306,29,2,1,0,2,3,1,5,3,13.5,61,17,8.2,1.95,0,0
28000344,52,1,1,0,6,2,1,4,7,3.2,46,6,2.2,0.66,0,2
28000344,52,1,1,0,6,2,1,4,7,3.2,51,6,4.4,0.66,0,2
28000352,77,1,1,0,2,1,11,4,7,42.0,64,52,14.8,5.88,2,1
28000352,77,1,1,0,2,1,10,4,7,231.0,229,170,69.2,30.05,3,1
28000363,48,1,2,1,5,1,6,6,7,1.9,20,5,0.0,0.52,0,1
28000366,42,1,1,0,2,1,1,4,3,2.5,36,6,0.0,0.75,0,2
28000366,42,1,1,0,2,1,1,4,3,2.5,34,6,3.0,0.75,0,2
28000414,40,1,1,0,5,2,11,5,6,22.0,81,36,11.2,3.67,2,0
28000449,52,1,2,0,4,1,3,4,3,191.0,124,154,48.0,25.46,3,0
28000450,46,2,2,0,4,2,8,4,3,1.1,23,2,2.2,0.27,0,1
28000460,37,2,1,0,0,2,1,6,7,180.5,219,177,61.6,24.26,6,0
28000532,30,2,1,0,2,2,7,4,7,122.0,135,108,37.0,16.16,4,0
28000646,47,1,1,0,4,1,1,5,3,57.0,88,65,20.6,7.42,3,1
28000700,42,2,1,0,6,2,6,5,6,2.9,50,6,0.0,0.66,1,1
28000700,42,2,1,0,6,2,3,5,6,1.9,18,4,0.0,0.49,0,2
28000701,45,1,1,0,6,1,8,5,7,7.0,69,14,6.0,1.63,0,1
28000701,45,1,1,0,6,1,1,5,7,6.0,58,14,5.2,1.62,0,1
28240008,68,1,1,0,0,1,4,4,3,14.3,68,21,8.0,1.99,0,1
28240009,66,2,1,0,0,1,7,4,2,30.0,165,38,15.0,4.4,2,1
28240046,63,1,1,0,0,1,9,5,3,2.2,27,4,0.0,0.37,0,1
28240046,63,1,1,0,0,1,9,5,3,12.0,111,24,9.0,2.01,1,1
28240110,36,1,2,1,4,1,1,4,3,23.6,105,37,16.6,3.58,1,1
28240110,36,1,2,1,4,1,1,4,3,12.6,39,21,6.2,1.99,0,1
28240111,31,2,2,1,4,1,1,4,7,2.4,29,8,6.0,0.37,0,1
28240111,31,2,2,1,4,1,8,4,7,5.2,70,9,14.0,0.82,2,1
28240179,51,1,3,0,4,1,1,4,3,101.0,168,114,37.0,13.54,4,0
28240202,39,1,1,0,4,2,1,5,4,150.0,215,163,65.2,20.71,5,0
28240302,69,1,1,0,1,1,5,4,7,43.5,211,54,26.6,6.2,4,1
28240303,67,2,1,0,0,1,5,4,3,43.5,211,54,26.6,6.2,4,1
28240354,46,2,3,1,4,1,1,4,3,6.0,27,10,4.0,1.09,0,1
28240378,47,2,2,0,2,1,11,6,3,0.5,18,1,3.0,0.09,0,1
28240378,47,2,2,0,2,1,4,6,3,6.7,33,11,4.0,1.0,0,1
28240378,47,2,2,0,2,1,6,6,3,40.0,124,36,22.8,6.06,4,1
28240485,40,1,1,0,0,1,1,2,3,0.9,15,2,3.0,0.14,0,1
28240515,30,2,2,1,6,1,4,5,3,49.0,138,40,25.0,7.24,4,1
28240517,38,1,2,2,5,1,4,5,3,24.0,71,19,14.0,3.67,2,1
28240517,38,1,2,2,5,1,5,5,3,25.0,67,21,11.0,3.57,2,1
28240523,41,1,2,0,6,1,1,6,6,9.1,46,16,6.2,1.48,0,1
