ID,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27
10540031,4,4,6,6,6,4,5,1,4,4,4,1,5,3,6,3,6,3,4,6,2,1,6,6,1,6,6
10540046,4,3,6,5,4,5,3,1,5,2,2,1,4,2,3,2,2,5,2,2,2,4,3,2,1,6,1
10540063,3,3,3,5,2,5,5,2,1,6,5,2,5,5,4,5,5,5,1,1,3,3,4,5,3,1,3
10540066,5,3,1,4,4,4,4,2,4,4,5,1,5,4,4,4,4,3,4,1,2,5,5,1,3,2,1
10540067,5,3,1,4,4,4,4,2,4,4,5,1,5,4,4,4,4,3,4,1,2,5,5,1,3,2,1
10540128,6,6,3,4,2,4,4,3,4,6,5,2,5,4,3,5,5,3,2,1,3,4,4,2,2,1,3
10540130,6,1,3,5,1,5,3,1,4,3,5,1,4,3,4,3,3,5,1,5,2,2,4,3,5,1,3
10540131,5,1,3,5,5,5,5,1,3,2,4,4,4,5,3,2,1,2,4,3,5,3,5,3,5,1,3
10540168,6,6,6,4,3,5,1,3,3,6,5,1,4,4,4,5,5,4,4,6,4,4,6,2,1,1,1
10540169,6,1,4,4,3,5,6,2,6,6,4,1,5,3,3,4,5,4,4,6,4,2,5,3,1,1,1
10540178,4,2,4,4,1,5,5,4,6,6,5,1,5,5,5,4,5,6,6,6,5,1,5,1,1,1,1
10540184,5,1,6,4,2,5,5,1,6,6,3,1,5,3,6,3,6,6,6,6,4,2,4,6,2,6,6
10540187,3,3,3,3,4,5,4,1,4,4,3,1,5,4,3,4,2,3,4,2,2,1,5,3,3,4,4
10540188,5,2,4,5,3,4,4,2,2,6,4,1,6,6,6,4,4,5,5,4,4,5,5,4,3,1,2
10540199,4,3,2,4,1,4,4,3,4,6,5,2,5,3,4,3,3,1,4,5,4,2,5,5,3,4,3
10540202,5,1,1,3,1,5,-1,1,1,6,4,1,4,3,2,4,4,2,4,6,5,2,5,2,2,6,6
10540215,5,2,2,4,2,5,5,3,5,3,3,2,4,3,3,3,5,3,2,6,4,2,5,2,4,6,3
10540216,5,2,2,4,2,5,5,3,4,6,2,2,5,3,3,3,5,3,2,6,4,2,5,2,4,6,3
10540237,4,3,5,5,3,2,4,1,5,6,5,1,5,2,5,5,3,5,3,3,2,1,5,3,1,1,1
10540250,3,3,4,4,3,4,4,3,3,6,3,4,4,3,3,4,3,4,4,4,5,2,5,3,3,4,4
10540252,2,2,2,5,1,5,4,2,3,6,4,3,5,4,6,4,4,4,2,6,4,2,5,2,2,6,4
10540260,3,5,1,5,3,5,5,1,4,6,5,1,6,6,6,1,3,5,4,5,5,3,5,4,4,3,1
10540265,6,4,2,5,2,4,4,2,3,1,4,1,3,4,5,4,5,2,3,6,3,2,5,2,1,1,1
10540266,3,3,1,5,4,4,4,3,3,2,4,1,5,2,5,4,3,4,2,4,4,2,5,2,4,4,3
10540269,4,-1,2,2,2,5,4,2,4,6,4,2,5,3,2,3,4,2,4,6,4,2,4,2,2,6,2
10540271,6,3,2,4,2,5,5,2,3,5,4,3,4,4,3,3,4,2,6,6,2,3,4,3,2,6,3
10540297,2,4,2,4,2,5,4,3,3,6,4,2,5,3,4,5,4,4,2,2,2,2,4,3,2,1,2
10540298,2,4,2,6,6,5,4,2,3,6,5,2,6,6,6,5,4,5,3,3,2,2,4,4,2,2,2
10540305,3,2,3,1,6,6,4,1,4,3,5,1,5,4,4,4,4,3,4,2,3,3,2,4,2,2,2
10540306,2,3,3,4,2,4,3,2,3,3,5,1,5,2,4,3,3,4,4,2,3,3,2,4,2,2,2
10540335,4,3,3,4,4,4,4,2,4,3,1,4,4,4,4,4,4,3,4,3,2,3,4,3,1,3,4
10540351,5,4,6,4,6,5,5,3,4,6,3,2,5,3,3,3,4,4,3,6,4,3,3,6,3,6,6
10540354,4,2,2,5,4,5,5,2,5,-1,5,1,5,2,5,5,5,2,2,6,2,5,5,1,5,6,5
10540384,5,1,5,6,2,5,5,3,3,6,5,4,5,4,2,1,5,3,5,6,5,2,4,1,2,6,6
10540395,4,4,2,5,3,3,4,3,4,6,3,1,4,4,5,4,2,2,4,6,2,2,5,1,4,6,3
10540396,4,5,4,5,3,2,3,1,5,4,3,1,3,3,3,2,5,3,2,2,2,4,4,2,1,1,4
10540462,6,4,6,5,3,5,5,6,4,6,4,2,-1,4,5,4,4,2,6,6,2,4,6,6,1,6,6
10540514,6,4,3,4,1,4,1,2,6,3,3,5,4,4,3,4,4,5,5,2,4,4,4,4,1,2,1
10540515,5,2,1,5,6,5,5,3,4,6,4,2,4,2,5,2,2,3,4,4,4,5,5,6,4,1,4
10540516,3,3,2,5,4,4,4,2,4,6,2,1,4,3,5,2,3,1,5,2,4,2,4,4,2,1,1
10540517,5,4,2,5,4,5,5,1,5,5,5,1,5,6,3,5,5,5,2,2,3,1,6,3,3,6,3
10540518,5,4,1,4,1,5,5,1,5,5,5,2,5,6,3,5,5,5,2,3,3,2,6,3,5,6,4
10540531,3,3,6,2,3,5,5,1,5,4,5,2,5,3,4,3,4,4,1,1,3,4,5,2,4,1,1
10540532,3,3,2,3,3,5,5,2,5,4,5,1,5,5,4,3,4,4,1,1,3,3,5,2,2,1,1
10540548,5,3,3,4,3,5,4,3,3,6,6,2,4,3,4,3,4,4,3,6,4,2,3,4,2,3,6
10540559,5,3,4,5,3,5,5,2,4,3,3,2,4,3,4,3,4,3,2,2,3,3,2,2,1,2,3
10540560,3,3,3,5,3,5,2,3,4,6,5,2,4,2,4,3,5,3,6,1,2,5,3,1,1,1,1
10540563,4,3,4,3,3,3,4,2,4,2,3,1,4,4,2,2,2,2,4,2,2,2,4,3,1,2,2
10540606,3,2,6,4,6,5,6,1,5,6,5,1,3,3,5,2,5,6,5,6,1,1,4,1,1,6,6
10540647,3,2,3,5,3,2,4,1,4,3,4,3,5,4,3,3,4,3,3,3,4,4,3,1,2,3,3
10540659,6,6,3,2,4,5,5,3,4,6,5,1,5,5,4,4,6,5,3,6,4,2,5,1,1,6,5
10540660,6,6,3,2,4,5,5,3,4,6,5,1,5,5,4,4,6,5,3,6,4,2,5,1,1,6,5
10540672,4,2,6,4,6,6,4,6,4,4,4,1,5,3,4,4,4,2,2,2,5,2,4,3,6,6,6
10540675,6,6,6,4,4,5,2,3,5,6,4,1,5,4,4,2,1,3,5,4,2,5,5,4,1,5,3
10540689,4,3,2,2,3,5,5,1,2,4,4,2,5,3,2,4,3,3,2,1,2,3,4,2,2,6,2
10540691,4,1,3,5,2,4,4,1,5,4,2,1,5,5,5,4,4,4,2,2,4,2,5,2,1,1,4
10540692,1,4,2,5,2,4,5,1,2,5,3,1,5,3,4,5,4,4,1,6,4,1,5,2,2,6,1
10540774,5,3,2,3,2,5,4,3,4,3,3,3,4,4,4,4,4,3,3,2,4,2,4,2,3,2,2
10540803,3,2,4,3,2,2,3,4,2,6,3,1,3,2,4,3,4,5,4,4,4,2,5,3,2,1,2
10540804,4,2,4,4,2,2,4,2,3,6,3,3,4,2,3,3,4,4,4,4,2,2,4,4,2,1,2
10540806,3,3,3,4,2,4,2,3,3,3,3,3,4,3,4,4,3,3,2,3,5,4,3,2,2,2,3
10540807,4,3,3,4,2,4,4,2,3,3,3,1,5,1,5,5,5,6,5,3,4,4,4,2,1,6,3
10541086,4,6,1,1,4,4,4,1,5,1,4,1,4,3,4,2,5,1,5,5,2,1,5,3,2,5,4
10980037,5,4,2,4,1,4,2,1,4,6,5,3,5,4,2,4,5,4,5,5,2,1,5,5,1,5,1
10980079,5,3,3,5,5,4,5,1,2,2,4,1,5,2,5,3,4,6,4,4,3,2,5,2,3,1,1
10980080,4,3,3,5,3,5,4,2,4,2,2,1,4,2,5,3,2,6,5,6,2,2,5,4,2,2,4
10980111,3,3,4,4,3,4,3,2,4,4,4,3,4,4,3,4,4,3,3,3,4,3,4,2,4,3,3
10980195,4,2,3,4,4,3,4,2,2,5,4,3,5,4,3,4,5,3,2,1,1,2,4,2,2,2,6
10980223,3,3,3,4,4,3,4,4,4,3,4,3,3,5,4,4,3,3,5,2,5,4,1,2,2,3,4
11460027,4,5,3,5,1,5,5,1,4,6,2,1,6,6,6,4,6,4,5,5,4,2,5,5,1,2,3
11460028,6,2,2,5,2,4,5,1,2,6,2,1,5,5,2,4,4,4,4,2,2,1,4,1,1,1,1
11460060,2,4,2,4,2,4,4,2,2,2,4,2,4,3,4,3,4,1,4,4,4,1,4,1,1,1,1
11460070,5,3,3,4,3,3,3,2,3,3,4,1,5,5,3,3,3,4,2,3,2,2,5,3,4,3,3
11460082,3,4,3,4,6,5,4,2,4,6,4,2,4,3,4,3,3,4,3,6,4,3,4,3,3,3,3
14050001,5,3,4,5,2,3,4,4,3,4,4,1,5,4,3,4,2,3,4,3,4,5,4,2,1,1,4
14050047,2,4,2,5,4,4,4,2,4,6,4,3,5,2,3,4,4,5,2,1,2,4,4,1,1,2,3
14050075,5,4,2,6,4,2,4,2,3,3,3,1,5,4,4,4,2,4,3,2,1,2,4,1,4,2,2
14050076,6,6,1,5,-1,5,5,1,5,1,2,1,4,2,4,2,2,4,4,4,4,2,4,1,4,1,1
14050110,4,5,3,3,4,5,5,3,3,3,5,2,5,5,3,5,5,5,3,3,2,5,2,1,1,1,3
14050133,4,4,4,3,2,2,4,3,3,3,2,2,5,5,4,5,4,3,4,4,4,2,4,4,4,4,2
14050134,5,2,5,5,3,2,5,1,5,2,4,2,5,4,2,2,2,2,5,5,5,2,5,5,2,5,3
14050180,5,2,4,4,2,4,4,2,4,5,5,2,5,5,3,3,4,3,2,1,4,4,2,2,2,2,4
14050182,4,5,2,5,3,4,4,1,3,4,5,2,5,3,4,4,4,4,4,4,3,1,4,1,5,3,4
14050186,5,2,3,5,1,1,5,2,4,2,2,1,5,5,5,5,2,3,4,4,5,4,1,1,5,1,4
14050193,5,2,2,5,2,3,5,1,5,1,1,1,4,2,5,1,1,5,2,2,4,4,4,2,4,1,5
14050194,5,5,5,5,5,2,4,1,4,1,4,1,5,4,5,5,5,5,5,2,3,2,4,4,2,3,3
14050226,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,4,6,6,6,4,6
14050250,6,4,3,5,5,4,4,2,4,6,5,1,1,4,4,1,4,4,1,1,2,4,4,1,2,3,2
14050278,2,5,1,5,4,4,5,4,5,4,5,1,5,5,4,2,5,4,2,2,4,2,4,1,5,1,5
19130012,5,5,5,5,1,5,5,1,1,1,1,5,5,5,1,1,5,1,5,1,5,1,1,1,5,1,5
19130036,3,2,3,5,2,4,5,2,4,5,4,2,4,4,4,2,4,3,3,6,2,3,5,4,3,2,3
19130062,5,4,2,2,1,4,4,2,2,5,5,2,5,5,2,2,2,2,3,6,2,2,5,2,2,6,1
19130080,5,4,3,4,6,4,4,4,4,4,5,3,5,4,3,5,5,3,3,6,3,2,3,2,4,6,6
19130092,4,3,3,6,1,3,4,2,4,6,4,2,5,4,4,3,4,3,2,6,2,3,5,2,2,3,4
19130147,2,2,1,5,2,2,2,2,5,4,4,1,1,2,5,4,4,2,4,2,3,2,5,3,4,2,1
19130148,5,5,5,5,6,5,6,1,5,5,5,1,5,6,5,5,5,2,3,2,5,1,5,1,2,2,3
19130149,5,1,4,5,1,5,5,2,4,1,1,1,5,5,4,2,5,5,5,5,4,1,4,1,4,2,4
19130179,4,2,3,3,3,4,4,2,4,4,4,2,4,3,4,4,4,2,2,1,3,2,4,2,2,2,3
19130202,4,5,1,5,1,5,5,1,5,6,6,1,5,4,5,3,5,1,6,6,5,1,5,1,1,6,6
19130203,4,2,4,2,3,3,3,4,4,1,1,1,4,3,4,2,4,2,4,2,4,2,4,2,2,3,3
19130205,6,6,4,5,2,2,4,4,5,6,5,1,5,3,5,5,6,6,6,1,1,5,6,6,5,6,6
19130206,6,6,4,5,1,3,2,1,5,6,6,1,5,5,5,5,6,6,6,6,4,1,6,1,5,6,1
19130213,4,4,4,2,2,4,4,2,4,5,5,1,4,4,3,3,4,4,2,2,4,4,4,2,4,4,4
19130238,6,6,6,5,3,4,3,1,4,6,4,3,5,3,4,2,3,2,4,1,2,5,5,3,2,2,4
19130252,5,2,5,5,2,5,4,1,5,6,3,1,6,6,6,4,2,2,5,5,5,5,5,5,1,5,5
19130279,6,4,3,4,4,4,2,6,4,6,5,6,4,4,4,4,4,4,6,3,4,3,4,2,6,3,6
19130291,5,3,2,4,2,4,4,2,4,5,5,3,5,4,2,4,4,2,4,3,3,2,4,1,3,2,3
19130292,5,3,2,4,2,4,4,2,4,5,5,2,5,4,2,4,4,2,4,3,3,2,4,1,3,2,3
19130374,5,2,5,4,2,2,4,1,3,4,4,1,5,2,5,4,4,3,5,5,4,3,5,2,2,1,1
19130486,5,1,4,5,4,1,6,1,6,1,1,1,5,2,5,5,1,5,5,4,5,1,5,2,1,2,1
19130578,4,3,3,4,2,5,4,2,3,6,4,1,5,5,3,2,2,5,2,4,5,5,5,2,3,2,5
19130685,5,3,3,5,1,5,5,1,5,3,3,1,5,3,5,5,5,4,4,1,5,1,5,1,5,3,4
19130766,4,2,3,3,3,5,4,6,6,6,5,6,4,4,3,6,6,4,6,6,6,1,4,2,2,3,6
19130767,5,6,6,6,2,6,4,6,5,6,6,3,5,5,4,5,6,5,6,6,6,5,6,1,6,6,6
19130797,4,2,2,5,2,5,4,2,3,3,4,1,5,2,2,4,4,2,4,4,1,2,5,2,1,1,1
19130798,5,2,3,5,6,3,4,4,2,6,5,1,5,5,4,4,4,3,3,6,4,4,3,2,5,6,1
19130827,5,2,2,6,3,3,4,1,4,5,4,1,5,5,6,5,5,5,6,6,6,3,1,1,6,6,6
19130843,5,4,4,5,3,3,4,5,3,6,5,3,5,5,3,5,5,5,2,3,3,3,3,2,2,4,4
19130855,4,3,4,4,3,3,4,4,3,4,4,2,5,4,4,3,3,4,4,2,4,2,4,2,2,2,4
19130863,4,2,4,5,3,5,4,3,2,2,3,2,4,4,3,3,5,3,4,3,4,2,4,3,2,6,3
19130867,1,5,1,5,1,4,5,1,2,6,5,2,5,5,4,5,5,2,1,6,2,4,1,2,1,1,4
19130871,5,3,3,4,4,4,4,2,4,6,4,2,4,2,4,2,2,4,4,2,1,3,5,2,1,1,4
19130883,6,6,5,5,6,3,4,2,5,6,3,3,5,4,4,4,6,4,4,3,4,3,6,6,3,6,3
19130912,6,6,6,6,1,3,3,3,5,5,4,3,4,4,2,5,5,6,6,6,3,1,6,6,6,6,6
19130933,6,6,6,6,3,3,4,1,1,1,4,1,1,3,1,4,3,1,1,4,4,1,6,4,6,4,4
19130963,6,1,6,5,1,3,5,3,5,2,5,1,5,2,4,5,6,2,6,6,1,5,5,1,6,6,5
19131061,6,6,6,6,6,5,5,1,6,5,5,1,5,5,1,6,6,6,6,6,6,6,6,6,1,6,6
19610035,5,2,4,5,5,3,4,1,5,1,3,1,3,2,5,2,4,4,5,5,2,1,5,5,1,4,4
19610100,6,-1,3,4,1,4,4,1,3,6,5,2,5,4,4,4,5,2,4,6,5,2,5,1,1,6,3
19610114,4,4,3,4,6,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,2,2,4
19610182,4,2,3,6,1,5,5,1,4,6,5,1,5,4,2,4,4,4,5,1,4,1,5,2,2,1,4
19610191,6,6,6,3,5,4,6,1,4,6,1,1,6,6,6,1,2,1,5,4,4,3,3,1,1,4,4
19610192,6,6,6,3,4,4,6,1,2,6,5,1,4,2,3,2,2,1,5,6,6,4,4,3,6,4,3
19610203,6,6,3,5,5,6,2,1,5,6,5,1,6,5,5,1,3,1,5,4,4,3,4,3,1,3,5
19650008,5,2,4,2,3,4,3,1,5,3,4,1,4,3,3,3,4,5,4,-1,-1,-1,-1,-1,-1,-1,-1
19650022,6,6,6,4,6,5,4,1,4,6,2,1,5,3,5,2,2,2,5,5,4,1,5,3,3,2,4
19650025,5,3,2,4,1,5,5,2,3,5,5,2,5,4,4,4,4,3,4,3,4,1,4,1,1,4,3
19650026,5,3,2,5,1,4,5,1,4,4,5,1,5,4,4,5,5,5,1,2,4,3,5,1,1,1,3
19650035,4,2,3,5,2,5,5,4,4,6,6,1,4,2,4,4,4,2,4,6,4,5,1,1,2,6,6
19650041,3,5,4,4,2,3,3,3,4,3,2,2,5,4,2,5,5,5,1,1,5,2,4,2,4,4,3
19650059,4,2,3,5,1,1,4,3,4,6,4,5,5,5,2,3,5,5,1,1,5,4,3,1,5,3,5
19650071,4,3,4,5,3,4,4,3,4,2,4,3,4,4,3,3,4,2,4,2,4,4,4,2,3,4,4
19650072,4,3,4,5,3,4,4,3,4,2,4,2,4,4,3,4,4,2,4,2,4,4,4,2,2,4,4
19650138,5,2,3,4,2,4,4,2,2,4,4,1,5,4,3,3,4,4,2,2,2,1,4,5,3,4,3
19650139,3,3,3,4,2,4,4,2,3,4,3,3,4,3,3,2,4,2,4,2,4,2,4,2,4,3,2
19650161,4,4,2,4,4,6,2,2,4,6,4,2,5,4,5,4,5,1,2,2,4,2,2,2,2,4,4
19650162,4,-1,-1,4,-1,4,-1,4,5,-1,4,2,6,-1,5,5,-1,3,-1,6,4,5,6,6,6,6,5
19650217,4,3,3,5,3,4,4,2,2,6,2,4,5,4,3,3,6,4,2,6,3,2,4,1,4,3,6
19650218,4,6,6,5,2,3,2,1,3,6,5,1,1,2,4,4,6,2,2,6,4,2,6,2,2,4,6
19650224,5,3,3,4,3,4,4,3,4,6,4,3,4,4,4,4,4,3,3,6,4,4,4,2,4,4,3
19650242,4,2,6,5,4,5,5,1,5,1,2,1,5,2,5,2,5,2,4,2,4,2,4,2,2,4,4
19650257,4,3,3,2,4,5,5,1,5,6,1,1,3,3,2,2,4,4,4,4,4,2,5,3,2,4,4
19650281,5,1,3,5,1,1,4,1,5,1,2,1,5,1,5,1,2,1,4,4,4,4,5,3,5,5,5
19650295,5,2,3,5,4,4,-1,2,5,3,5,2,4,3,4,3,4,5,4,4,4,2,5,4,4,4,4
19650327,5,1,4,5,2,1,4,1,5,2,3,1,2,4,5,4,4,5,4,4,4,5,5,4,3,5,5
19650328,5,1,4,5,4,4,5,4,5,4,4,2,4,4,5,3,3,5,4,2,2,2,5,4,2,4,4
19650425,4,2,2,4,3,5,5,4,3,6,5,3,5,4,4,4,3,4,3,6,4,5,4,6,4,4,3
19650447,5,4,3,4,4,2,4,4,4,4,5,2,5,4,4,4,4,4,2,4,2,5,4,4,2,5,5
19650448,5,4,3,4,4,2,4,4,4,4,5,2,5,4,4,4,4,4,2,4,2,5,4,4,2,5,5
19650490,3,2,2,2,1,5,5,6,4,4,5,1,4,5,2,4,5,2,5,6,4,5,4,1,1,2,6
19650491,5,2,1,4,1,4,4,1,4,3,5,1,4,4,3,6,6,2,6,6,4,5,4,1,1,6,3
19650511,4,2,2,4,2,4,4,1,4,4,4,2,4,4,3,4,4,4,4,2,4,2,4,6,6,4,2
19650512,4,2,2,4,2,4,2,4,4,4,2,4,4,2,4,4,4,4,4,6,4,4,4,6,6,6,6
19650575,5,1,1,5,1,5,5,1,5,6,6,1,5,2,4,6,6,5,2,1,1,3,2,2,1,6,6
19650586,5,6,5,3,2,5,5,3,3,5,5,1,3,5,3,3,6,5,1,1,4,3,5,3,3,3,3
19650626,3,1,3,4,3,1,4,1,4,1,2,1,3,4,4,2,3,1,4,6,4,1,4,4,1,6,4
19650631,5,2,4,4,2,3,3,2,4,4,5,2,5,5,3,3,4,4,2,1,4,3,4,3,2,4,3
19650656,5,2,2,5,2,2,4,2,5,6,5,2,5,4,5,5,4,4,4,1,2,2,4,2,2,4,1
